t,p,n,nu_0,mu,gamma,no_edges,bic value,precision_avg,recall_avg,F1_avg,Time(sec),mask_diag
10,100,2500,0.005,1000.0,10,350.0,743577.6965529489,nan,0.0,nan,8.532151699066162,True
10,100,2500,0.005,925.8810253973954,10,350.0,743577.6965529489,nan,0.0,nan,8.505780458450317,True
10,100,2500,0.005,857.2556731909325,10,350.0,743577.6965529489,nan,0.0,nan,8.707973718643188,True
10,100,2500,0.005,793.7167617217551,10,350.0,743577.6965529489,nan,0.0,nan,8.421844005584717,True
10,100,2500,0.005,734.8872892180387,10,350.0,743577.6965529489,nan,0.0,nan,8.867248296737671,True
10,100,2500,0.005,680.4181968927101,10,350.0,743577.6965529489,nan,0.0,nan,8.184991836547852,True
10,100,2500,0.005,629.9862978380693,10,350.0,743577.6965529489,nan,0.0,nan,8.833753824234009,True
10,100,2500,0.005,583.2923594286206,10,350.0,743577.6965529489,nan,0.0,nan,8.655120134353638,True
10,100,2500,0.005,540.0593278542374,10,350.0,743577.6965529489,nan,0.0,nan,8.175088167190552,True
10,100,2500,0.005,500.03068424910947,10,350.0,743577.6965529489,nan,0.0,nan,8.973167419433594,True
10,100,2500,0.005,462.96892266272675,10,350.0,743577.6965529489,nan,0.0,nan,8.547439336776733,True
10,100,2500,0.005,428.6541408420925,10,350.0,743577.6965529489,nan,0.0,nan,9.003008604049683,True
10,100,2500,0.005,396.8827354637166,10,350.0,743577.6965529489,nan,0.0,nan,8.937555313110352,True
10,100,2500,0.005,367.4661940736688,10,350.0,743577.6965529489,nan,0.0,nan,8.172144174575806,True
10,100,2500,0.005,340.2299765678068,10,350.0,743577.6965529489,nan,0.0,nan,8.361942529678345,True
10,100,2500,0.005,315.0124795755328,10,350.0,743577.6965529489,nan,0.0,nan,8.85868215560913,True
10,100,2500,0.005,291.66407760237036,10,350.0,743577.6965529489,nan,0.0,nan,8.555651664733887,True
10,100,2500,0.005,270.04623524206824,10,350.0,743577.6965529489,nan,0.0,nan,8.949828863143921,True
10,100,2500,0.005,250.0306851906324,10,350.0,743577.6965529489,nan,0.0,nan,8.952233076095581,True
10,100,2500,0.005,231.4986671851161,10,350.0,743577.6965529489,nan,0.0,nan,8.95206332206726,True
10,100,2500,0.005,214.34022335148566,10,350.0,743577.6965529489,nan,0.0,nan,8.22288179397583,True
10,100,2500,0.005,198.45354578058033,10,350.0,743577.6965529489,nan,0.0,nan,8.945282220840454,True
10,100,2500,0.005,183.74437246107266,10,350.0,743577.6965529489,nan,0.0,nan,8.178654432296753,True
10,100,2500,0.005,170.1254279852589,10,350.0,743577.6965529489,nan,0.0,nan,8.645915508270264,True
10,100,2500,0.005,157.5159057091623,10,350.0,743577.6965529489,nan,0.0,nan,8.315038442611694,True
10,100,2500,0.005,145.84098829439864,10,350.0,743577.6965529489,nan,0.0,nan,8.930873394012451,True
10,100,2500,0.005,135.03140378698737,10,350.0,743577.6965529489,nan,0.0,nan,8.500203609466553,True
10,100,2500,0.005,125.0230145991456,10,350.0,743577.6965529489,nan,0.0,nan,8.21825361251831,True
10,100,2500,0.005,115.75643695533047,10,350.0,743577.6965529489,nan,0.0,nan,8.997217893600464,True
10,100,2500,0.005,107.17668854455034,10,350.0,743577.6965529489,nan,0.0,nan,8.935736894607544,True
10,100,2500,0.005,99.2328622883255,10,350.0,743577.6965529489,nan,0.0,nan,8.948328733444214,True
10,100,2500,0.005,91.87782428863335,10,350.0,743577.6965529489,nan,0.0,nan,8.985218524932861,True
10,100,2500,0.005,85.06793416364158,10,350.0,743577.6965529489,nan,0.0,nan,8.553846836090088,True
10,100,2500,0.005,78.7627861118706,10,350.0,743577.6965529489,nan,0.0,nan,8.667358875274658,True
10,100,2500,0.005,72.92496916841448,10,350.0,743577.6965529489,nan,0.0,nan,8.565782070159912,True
10,100,2500,0.005,67.51984523072505,10,350.0,743577.6965529489,nan,0.0,nan,8.180434942245483,True
10,100,2500,0.005,62.51534353689715,10,350.0,743577.6965529489,nan,0.0,nan,8.996807098388672,True
10,100,2500,0.005,57.88177037701277,10,350.0,743577.6965529489,nan,0.0,nan,8.393038034439087,True
10,100,2500,0.005,53.591632908485145,10,350.0,743577.6965529489,nan,0.0,nan,8.748893737792969,True
10,100,2500,0.005,49.61947603002903,10,350.0,743577.6965529489,nan,0.0,nan,8.950747728347778,True
10,100,2500,0.005,45.94173134636476,10,350.0,743577.6965529489,nan,0.0,nan,8.449851751327515,True
10,100,2500,0.005,42.53657732750387,10,350.0,743577.6965529489,nan,0.0,nan,8.934804677963257,True
10,100,2500,0.005,39.38380983288489,10,350.0,743577.6965529489,nan,0.0,nan,8.877787590026855,True
10,100,2500,0.005,36.464722232127485,10,350.0,743577.6965529489,nan,0.0,nan,8.186367273330688,True
10,100,2500,0.005,33.7619944111134,10,350.0,743577.6965529489,nan,0.0,nan,9.02267050743103,True
10,100,2500,0.005,31.25959000482281,10,350.0,743577.6965529489,nan,0.0,nan,9.00358533859253,True
10,100,2500,0.005,28.942661247167518,10,350.0,743577.6965529489,nan,0.0,nan,8.567867755889893,True
10,100,2500,0.005,26.797460873256924,10,350.0,743577.6965529489,nan,0.0,nan,8.211738348007202,True
10,100,2500,0.005,24.811260551377703,10,350.0,743577.6965529489,nan,0.0,nan,8.368747234344482,True
10,100,2500,0.005,22.972275360711524,10,350.0,743577.6965529489,nan,0.0,nan,8.173704147338867,True
10,100,2500,0.005,21.269593866686908,10,350.0,743577.6965529489,nan,0.0,nan,8.19486379623413,True
10,100,2500,0.005,19.693113379074227,10,350.0,743577.6965529489,nan,0.0,nan,8.971859216690063,True
10,100,2500,0.005,18.233480008684413,10,350.0,743577.6965529489,nan,0.0,nan,8.32569694519043,True
10,100,2500,0.005,16.882033167003637,10,350.0,743577.6965529489,nan,0.0,nan,8.200754165649414,True
10,100,2500,0.005,15.630754179458165,10,350.0,743577.6965529489,nan,0.0,nan,8.832682847976685,True
10,100,2500,0.005,14.47221870741135,10,350.0,743577.6965529489,nan,0.0,nan,8.306441068649292,True
10,100,2500,0.005,13.39955269659339,10,350.0,743577.6965529489,nan,0.0,nan,8.907408714294434,True
10,100,2500,0.005,12.406391590588324,10,350.0,743577.6965529489,nan,0.0,nan,8.242096900939941,True
10,100,2500,0.005,11.486842567375541,10,350.0,743577.6965529489,nan,0.0,nan,8.973796367645264,True
10,100,2500,0.005,10.635449574860113,10,350.0,743577.6965529489,nan,0.0,nan,8.98227596282959,True
10,100,2500,0.005,9.847160957933774,10,350.0,743577.6965529489,nan,0.0,nan,8.958671808242798,True
10,100,2500,0.005,9.117299484984922,10,350.0,743577.6965529489,nan,0.0,nan,8.42384147644043,True
10,100,2500,0.005,8.441534596012986,10,350.0,743577.6965529489,nan,0.0,nan,8.951006412506104,True
10,100,2500,0.005,7.815856707684091,10,350.0,743577.6965529489,nan,0.0,nan,8.844202995300293,True
10,100,2500,0.005,7.236553422869657,10,350.0,743577.6965529489,nan,0.0,nan,8.94887661933899,True
10,100,2500,0.005,6.70018750350959,10,350.0,743577.6965529489,nan,0.0,nan,8.925058603286743,True
10,100,2500,0.005,6.203576476104275,10,350.0,743577.6965529489,nan,0.0,nan,8.984352827072144,True
10,100,2500,0.005,5.7437737488265865,10,350.0,743577.6965529489,nan,0.0,nan,8.232727289199829,True
10,100,2500,0.005,5.3180511282142024,10,350.0,743577.6965529489,nan,0.0,nan,8.172114849090576,True
10,100,2500,0.005,4.923882631706742,10,350.0,743577.6965529489,nan,0.0,nan,8.814489841461182,True
10,100,2500,0.005,4.558929499981064,10,350.0,743577.6965529489,nan,0.0,nan,8.191988945007324,True
10,100,2500,0.005,4.221026320156903,10,350.0,743577.6965529489,nan,0.0,nan,8.966289520263672,True
10,100,2500,0.005,3.908168177536268,10,350.0,743577.6965529489,nan,0.0,nan,8.995514154434204,True
10,100,2500,0.005,3.6184987596427503,10,350.0,743577.6965529489,nan,0.0,nan,8.636379480361938,True
10,100,2500,0.005,3.3502993419772333,10,350.0,743577.6965529489,nan,0.0,nan,9.006862163543701,True
10,100,2500,0.005,3.101978590138097,10,350.0,743577.6965529489,nan,0.0,nan,8.385766983032227,True
10,100,2500,0.005,2.872063117797828,10,350.0,743577.6965529489,nan,0.0,nan,8.978515148162842,True
10,100,2500,0.005,2.6591887445126936,10,350.0,743577.6965529489,nan,0.0,nan,8.975330114364624,True
10,100,2500,0.005,2.4620924014946257,10,350.0,743577.6965529489,nan,0.0,nan,8.763903379440308,True
10,100,2500,0.005,2.2796046373189798,10,350.0,743577.6965529489,nan,0.0,nan,8.184086084365845,True
10,100,2500,0.005,2.110642679101555,10,350.0,743577.6965529489,nan,0.0,nan,8.373527526855469,True
10,100,2500,0.005,1.9542040079740535,10,350.0,743577.6965529489,nan,0.0,nan,8.955971479415894,True
10,100,2500,0.005,1.8093604107387165,10,350.0,743577.6965529489,nan,0.0,nan,8.403379917144775,True
10,100,2500,0.005,1.6752524724082154,10,350.0,743577.6965529489,nan,0.0,nan,8.195029973983765,True
10,100,2500,0.005,1.5510844769528405,10,350.0,743577.6965529489,nan,0.0,nan,8.190160512924194,True
10,100,2500,0.005,1.4361196859990788,10,350.0,743577.6965529489,nan,0.0,nan,8.765441179275513,True
10,100,2500,0.005,1.3296759674662126,10,350.0,743577.6965529489,nan,0.0,nan,8.946799516677856,True
10,100,2500,0.005,1.2311217482038908,10,350.0,743577.6965529489,nan,0.0,nan,8.406497240066528,True
10,100,2500,0.005,1.1398722666160526,10,350.0,743577.6965529489,nan,0.0,nan,8.911553859710693,True
10,100,2500,0.005,1.0553861030365241,10,350.0,743577.6965529489,nan,0.0,nan,9.008094787597656,True
10,100,2500,0.005,0.9771619672696181,10,350.0,743577.6965529489,nan,0.0,nan,8.20872449874878,True
10,100,2500,0.005,0.9047357242349302,10,350.0,743577.6965529489,nan,0.0,nan,8.612406253814697,True
10,100,2500,0.005,0.8376776400682924,10,350.0,743577.6965529489,nan,0.0,nan,8.19164252281189,True
10,100,2500,0.005,0.775589832338901,10,350.0,743577.6965529489,nan,0.0,nan,8.521924018859863,True
10,100,2500,0.005,0.7181039092537357,10,350.0,743577.6965529489,nan,0.0,nan,8.382771492004395,True
10,100,2500,0.005,0.6648787838417269,10,350.0,743577.6965529489,nan,0.0,nan,8.969949007034302,True
10,100,2500,0.005,0.6155986501483515,10,350.0,743577.6965529489,nan,0.0,nan,8.948183298110962,True
10,100,2500,0.005,0.5699711094326075,10,350.0,743577.6965529489,nan,0.0,nan,8.230930089950562,True
10,100,2500,0.005,0.5277254352483538,10,350.0,743577.6965529489,nan,0.0,nan,9.000216007232666,True
10,100,2500,0.005,0.48861096711603264,10,350.0,743577.6965529489,nan,0.0,nan,8.432996034622192,True
10,100,2500,0.005,0.45239562325380533,10,350.0,743577.6965529489,nan,0.0,nan,8.525145530700684,True
10,100,2500,0.005,0.4188645235435271,10,350.0,743577.6965529489,nan,0.0,nan,8.622496604919434,True
10,100,2500,0.005,0.38781871456107236,10,350.0,743577.6965529489,nan,0.0,nan,8.812291383743286,True
10,100,2500,0.005,0.3590739891061055,10,350.0,743577.6965529489,nan,0.0,nan,8.73811936378479,True
10,100,2500,0.005,0.3324597932270942,10,350.0,743577.6965529489,nan,0.0,nan,8.190924167633057,True
10,100,2500,0.005,0.307818214256508,10,350.0,743577.6965529489,nan,0.0,nan,8.998351097106934,True
10,100,2500,0.005,0.2850030438518108,10,350.0,743577.6965529489,nan,0.0,nan,9.015067100524902,True
10,100,2500,0.005,0.26387891048289347,10,350.0,743577.6965529489,nan,0.0,nan,8.468293190002441,True
10,100,2500,0.005,0.2443204762186489,10,350.0,743577.6965529489,nan,0.0,nan,8.48045015335083,True
10,100,2500,0.005,0.22621169304690264,10,350.0,743577.6965529489,nan,0.0,nan,8.407567977905273,True
10,100,2500,0.005,0.2094451143151471,10,350.0,743577.6965529489,nan,0.0,nan,8.522509336471558,True
10,100,2500,0.005,0.1939212572065831,10,350.0,743577.6965529489,nan,0.0,nan,8.979491472244263,True
10,100,2500,0.005,0.1795480124687832,10,350.0,743577.6965529489,nan,0.0,nan,8.708569765090942,True
10,100,2500,0.005,0.16624009789266136,10,350.0,743577.6965529489,nan,0.0,nan,8.221283197402954,True
10,100,2500,0.005,0.15391855229902068,10,350.0,743577.6965529489,nan,0.0,nan,8.84070873260498,True
10,100,2500,0.005,0.14251026703029993,10,350.0,743577.6965529489,nan,0.0,nan,9.00581693649292,True
10,100,2500,0.005,0.13194755216767073,10,350.0,743577.6965529489,nan,0.0,nan,8.701756477355957,True
10,100,2500,0.005,0.1221677348996793,10,350.0,743577.6965529489,nan,0.0,nan,8.186204195022583,True
10,100,2500,0.005,0.11311278765939213,10,350.0,743577.6965529489,nan,0.0,nan,8.298418283462524,True
10,100,2500,0.005,0.10472898382363585,10,350.0,743577.6965529489,nan,0.0,nan,8.998196125030518,True
10,100,2500,0.005,0.0969665789314552,10,350.0,743577.6965529489,nan,0.0,nan,8.966456890106201,True
10,100,2500,0.005,0.08977951553033332,10,350.0,743577.6965529489,nan,0.0,nan,8.198395252227783,True
10,100,2500,0.005,0.08312514989890632,10,350.0,743577.6965529489,nan,0.0,nan,9.014638662338257,True
10,100,2500,0.005,0.07696399902471167,10,350.0,743577.6965529489,nan,0.0,nan,8.511258840560913,True
10,100,2500,0.005,0.0712595063356841,10,350.0,743577.6965529489,nan,0.0,nan,9.034454107284546,True
10,100,2500,0.005,0.06597782479539546,10,350.0,743577.6965529489,nan,0.0,nan,8.968150615692139,True
10,100,2500,0.005,0.061087616075050394,10,350.0,743577.6965529489,nan,0.0,nan,8.529474020004272,True
10,100,2500,0.005,0.056559864610650136,10,350.0,743577.6965529489,nan,0.0,nan,8.992939233779907,True
10,100,2500,0.005,0.05236770544204655,10,350.0,743577.6965529489,nan,0.0,nan,8.462604522705078,True
