t,p,n,nu_0,mu,gamma,no_edges,bic value,precision_avg,recall_avg,F1_avg,Time(sec),mask_diag
10,100,2500,1e-05,1000.0,10,395.0,745416.4077792009,0.25,0.0005220569042025581,0.0010419380046887213,10.949573755264282,True
10,100,2500,1e-05,925.8810253973954,10,400.0,745563.3885562696,0.2,0.0005220569042025581,0.001041395469929706,11.066052913665771,True
10,100,2500,1e-05,857.2556731909325,10,403.0,745651.9253129832,0.2,0.0005220569042025581,0.001041395469929706,11.095252990722656,True
10,100,2500,1e-05,793.7167617217551,10,409.0,745847.2980376945,0.3076923076923077,0.0010441138084051162,0.002081165452653486,11.176470041275024,True
10,100,2500,1e-05,734.8872892180387,10,414.0,745989.7485799773,0.3076923076923077,0.0010441138084051162,0.002081165452653486,11.265881299972534,True
10,100,2500,1e-05,680.4181968927101,10,425.0,746473.8541935153,0.26666666666666666,0.0010441138084051162,0.002080083203328133,11.421623468399048,True
10,100,2500,1e-05,629.9862978380693,10,439.0,746866.7124761337,0.26666666666666666,0.0010441138084051162,0.002080083203328133,11.489310503005981,True
10,100,2500,1e-05,583.2923594286206,10,450.0,747186.8218137802,0.3157894736842105,0.0015661707126076742,0.003116883116883117,11.607340812683105,True
10,100,2500,1e-05,540.0593278542374,10,461.0,747550.3604245302,0.2857142857142857,0.0015661707126076742,0.003115264797507788,11.660912036895752,True
10,100,2500,1e-05,500.03068424910947,10,471.0,747856.7606828843,0.28,0.0018271991647089533,0.003630705394190871,11.712367057800293,True
10,100,2500,1e-05,462.96892266272675,10,490.0,748385.7774718617,0.3125,0.0026102845210127902,0.005177323323841573,11.830564975738525,True
10,100,2500,1e-05,428.6541408420925,10,509.0,748930.6565720976,0.2631578947368421,0.0026102845210127902,0.005169294391315585,11.950974464416504,True
10,100,2500,1e-05,396.8827354637166,10,534.0,749778.2593625755,0.20833333333333334,0.0026102845210127902,0.005155968032998196,12.045215845108032,True
10,100,2500,1e-05,367.4661940736688,10,548.0,750199.6026122471,0.22,0.0028713129731140694,0.0056686421025508886,12.152450799942017,True
10,100,2500,1e-05,340.2299765678068,10,568.0,750982.1829186712,0.2037037037037037,0.0028713129731140694,0.005662805662805663,12.2241792678833,True
10,100,2500,1e-05,315.0124795755328,10,584.0,751460.6876000152,0.21875,0.0036543983294179067,0.007188703465982028,12.341415166854858,True
10,100,2500,1e-05,291.66407760237036,10,618.0,752771.3852677654,0.22077922077922077,0.004437483685721744,0.008700102354145343,12.333358526229858,True
10,100,2500,1e-05,270.04623524206824,10,645.0,753553.9965954233,0.20930232558139536,0.004698512137823023,0.009190707173857546,12.483949184417725,True
10,100,2500,1e-05,250.0306851906324,10,668.0,754246.2963734814,0.2127659574468085,0.0052205690420255805,0.01019108280254777,12.5622718334198,True
10,100,2500,1e-05,231.4986671851161,10,690.0,754999.9573431488,0.21568627450980393,0.005742625946228139,0.011187388761759471,12.675791025161743,True
10,100,2500,1e-05,214.34022335148566,10,729.0,756196.3281131005,0.2072072072072072,0.006003654398329418,0.011669203450025367,12.74384355545044,True
10,100,2500,1e-05,198.45354578058033,10,789.0,758528.3661595398,0.18248175182481752,0.006525711302531976,0.012600806451612902,12.852019548416138,True
10,100,2500,1e-05,183.74437246107266,10,822.0,759505.4286578315,0.17419354838709677,0.007047768206734534,0.013547415955845458,12.908344268798828,True
10,100,2500,1e-05,170.1254279852589,10,857.0,760611.4216653946,0.17058823529411765,0.0075698251109370925,0.014496375906023495,12.966347455978394,True
10,100,2500,1e-05,157.5159057091623,10,923.0,763100.3656665912,0.15544041450777202,0.007830853563038372,0.014910536779324057,13.004267692565918,True
10,100,2500,1e-05,145.84098829439864,10,968.0,764333.6572998519,0.15196078431372548,0.00809188201513965,0.015365551425030976,13.181609869003296,True
10,100,2500,1e-05,135.03140378698737,10,1028.0,766184.392120645,0.15137614678899083,0.008613938919342208,0.016300321066930107,13.18229341506958,True
10,100,2500,1e-05,125.0230145991456,10,1086.0,767890.7647497959,0.14166666666666666,0.008874967371443488,0.016703512650454434,13.299794435501099,True
10,100,2500,1e-05,115.75643695533047,10,1166.0,770210.7027964001,0.13962264150943396,0.009658052727747325,0.01806640625,13.366448640823364,True
