T,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
1,100,2500,1000,1,0,NA,NA,-694951.769742038,67.264,0
1,100,2500,316.227766016838,1,0,NA,NA,-694951.769742038,66.583,0
1,100,2500,100,1,0,NA,NA,-694951.769742038,66.675,0
1,100,2500,100,1,0,NA,NA,-694951.769742038,69.838,0
1,100,2500,68.66488450043,1,0,NA,NA,-694951.769742038,68.939,0
1,100,2500,47.1486636345739,1,0,NA,NA,-694951.769742038,69.064,0
1,100,2500,32.3745754281764,1,0,NA,NA,-694951.769742038,68.928,0
1,100,2500,22.229964825262,1,0,NA,NA,-694951.769742038,69.082,0
1,100,2500,15.2641796717523,1,0,NA,NA,-694951.769742038,68.961,0
1,100,2500,10.4811313415469,1,0,NA,NA,-694951.769742038,69.007,0
1,100,2500,7.19685673001152,1,0,NA,NA,-694951.769742038,68.8920000000001,0
1,100,2500,4.94171336132384,1,0,NA,NA,-694951.769742038,68.864,0
1,100,2500,3.39322177189533,1,0,NA,NA,-694951.769742038,69.058,0
1,100,2500,2.32995181051537,1,0,NA,NA,-694951.769742038,68.972,0
1,100,2500,1.59985871960606,1,0,NA,NA,-694951.769742038,69.064,0
1,100,2500,1.09854114198756,1,0,NA,NA,-694951.769742038,68.954,0
1,100,2500,0.754312006335462,1,0,NA,NA,-694951.769742038,69.071,0
1,100,2500,0.517947467923121,1,0,NA,NA,-694951.769742038,69.0680000000001,0
1,100,2500,0.355648030622313,1,0,NA,NA,-694951.769742038,68.925,0
1,100,2500,0.244205309454865,1,0,NA,NA,-694951.769742038,68.991,0
1,100,2500,0.167683293681101,1,0,NA,NA,-694951.769742038,68.9000000000001,0
1,100,2500,0.115139539932645,1,0,NA,NA,-694951.769742038,69.127,0
1,100,2500,0.079060432109077,1,0,NA,NA,-694951.769742038,69.0819999999999,0
1,100,2500,0.0542867543932386,1,0,NA,NA,-694951.770918507,124.282,0
1,100,2500,0.0372759372031494,1,0,NA,NA,-694951.770273523,3696.951,0
1,100,2500,0.0255954792269954,1,0,NA,NA,-694951.769811802,6204.876,0
