population,p,N,Recall,Precision,F1,AUPRC,runtime_s,total_edges_directed
"1",100,2500,1,0.152501016673444,0.264643613267466,0.160077175170702,0.297,2459
"2",100,2500,0.96551724137931,0.0940781184376313,0.171450440107157,0.0927010620870462,0.233,2381
"3",100,2500,1,0.146725949878739,0.255904124074727,0.152196413370124,0.237,2474
"4",100,2500,1,0.174211802748585,0.296729776247849,0.15355267419577,0.261,2474
"5",100,2500,0.990445859872611,0.127668308702791,0.226181818181818,0.132512934392134,0.252,2436
"6",100,2500,1,0.161212121212121,0.277661795407098,0.125070787322632,0.274999999999999,2475
"7",100,2500,0.997971602434077,0.198948645369996,0.331759946055293,0.194192063326297,0.253,2473
"8",100,2500,0.994505494505495,0.146855983772819,0.255920820077766,0.12280631941161,0.26,2465
"9",100,2500,1,0.188282828282828,0.316899013940836,0.191071386978514,0.272,2475
"10",100,2500,0.99746192893401,0.159432048681542,0.27492130115425,0.152651278445538,0.239,2465
"global",100,2500,0.996084573218481,0.155267119664727,0.26865671641791,0.150567314737704,2.579,24577
