T,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
1,200,2000,0.1,0.001,0,NA,NA,-4800096.77403318,1.106,0
1,200,2000,0.0885866790410083,0.001,0,NA,NA,-4800096.77403318,0.834,0
1,200,2000,0.0784759970351461,0.001,0,NA,NA,-4800096.77403318,0.805,0
1,200,2000,0.0695192796177561,0.001,0,NA,NA,-4800096.77403318,0.808,0
1,200,2000,0.0615848211066026,0.001,0,NA,NA,-4797679.37531059,4.518,0
1,200,2000,0.0545559478116852,0.001,0.000137703112090333,0.2,0.000275216733177377,-4779207.57752501,23.387,5
1,200,2000,0.0483293023857175,0.001,0.000137703112090333,0.0454545454545455,0.000274574409665019,-4720798.54363353,26.723,22
1,200,2000,0.01,0.001,0.168548609198568,0.143645112076047,0.155103592472914,17258646.9143328,107.151,8521
1,200,2000,0.0428133239871939,0.001,0.00151473423299367,0.154929577464789,0.00300013636983499,-4554179.69434719,100.886,71
1,200,2000,0.001,0.001,0.497245937758193,0.116634366925065,0.188948772957982,72723131.0091516,136.369,30960
1,200,2000,0.1,0.001,0,NA,NA,-4800096.77403318,1.094,0
1,200,2000,0.0885866790410083,0.001,0,NA,NA,-4800096.77403318,0.9,0
1,200,2000,0.0784759970351461,0.001,0,NA,NA,-4800096.77403318,0.818999999999999,0
1,200,2000,0.0695192796177561,0.001,0,NA,NA,-4800096.77403318,0.814,0
1,200,2000,1e-04,0.001,0.879509776920958,0.121675683913739,0.213776483582689,130651201.937379,97.626,52492
1,200,2000,0.0615848211066026,0.001,0,NA,NA,-4797679.37531059,4.525,0
1,200,2000,0.0545559478116852,0.001,0.000137703112090333,0.2,0.000275216733177377,-4779207.57752501,23.219,5
1,200,2000,0.00885866790410082,0.001,0.184522170201047,0.140343527440302,0.159428911362284,19771763.587303,107.585,9548
1,200,2000,0.0483293023857175,0.001,0.000137703112090333,0.0454545454545455,0.000274574409665019,-4720798.54363353,27.023,22
1,200,2000,0.01,0.001,0.168548609198568,0.143645112076047,0.155103592472914,17258646.9143328,106.355,8521
1,200,2000,0.01,0.001,0.168548609198568,0.143645112076047,0.155103592472914,17258646.9143328,106.583,8521
1,200,2000,0.001,0.001,0.497245937758193,0.116634366925065,0.188948772957982,72723131.0091516,137.9,30960
1,200,2000,0.0379269019073225,0.001,0.00592123381988433,0.225130890052356,0.0115389775929156,-4183997.68841793,144.036,191
1,200,2000,8.85866790410083e-05,0.001,0.88859818231892,0.121715676103891,0.214104414472702,132237943.053406,98.401,53017
1,200,2000,0.000885866790410082,0.001,0.525475075736712,0.117242226864938,0.191710625470987,76697358.3358621,133.292,32548
1,200,2000,0.00784759970351461,0.001,0.201597356100248,0.138256681461894,0.164024424401994,22227821.0409677,108.6,10589
1,200,2000,0.0428133239871939,0.001,0.00151473423299367,0.154929577464789,0.00300013636983499,-4554179.69434719,102.987,71
1,200,2000,0.00885866790410082,0.001,0.184522170201047,0.140343527440302,0.159428911362284,19771763.587303,108.827,9548
1,200,2000,0.00885866790410082,0.001,0.184522170201047,0.140343527440302,0.159428911362284,19771763.587303,108.942,9548
1,200,2000,7.84759970351461e-05,0.001,0.897824290828973,0.121759916336745,0.214438414734419,133726986.734663,91.216,53548
1,200,2000,0.000885866790410082,0.001,0.525475075736712,0.117242226864938,0.191710625470987,76697358.3358621,136.044,32548
1,200,2000,0.00695192796177561,0.001,0.217020104654365,0.136663198057579,0.167713099925508,24580031.9216927,108.663,11532
1,200,2000,0.000784759970351462,0.001,0.552602588818507,0.117380367380367,0.193630880579011,80725018.7813994,134.423,34188
1,200,2000,0.0335981828628378,0.001,0.0145965298815753,0.249411764705882,0.027579029530376,-3480600.690951,160.755,425
1,200,2000,6.95192796177561e-05,0.001,0.905397961993941,0.121790834660838,0.214700888192268,135116715.210823,90.719,53986
1,200,2000,0.00784759970351461,0.001,0.201597356100248,0.138256681461894,0.164024424401994,22227821.0409677,109.813,10589
1,200,2000,0.00784759970351461,0.001,0.201597356100248,0.138256681461894,0.164024424401994,22227821.0409677,109.932,10589
1,200,2000,0.0379269019073225,0.001,0.00592123381988433,0.225130890052356,0.0115389775929156,-4183997.68841793,146.042,191
1,200,2000,0.000784759970351462,0.001,0.552602588818507,0.117380367380367,0.193630880579011,80725018.7813994,136.384,34188
