,reg1,reg2,reg3,reg4,reg5,reg6,reg7,reg8,reg9,reg10,reg11,reg12,reg13,reg14,reg15,reg16,reg17,reg18,reg19,reg20,reg21,reg22,reg23,reg24,reg25,reg26,reg27,reg28,reg29,reg30,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100,gene101,gene102,gene103,gene104,gene105,gene106,gene107,gene108,gene109,gene110,gene111,gene112,gene113,gene114,gene115,gene116,gene117,gene118,gene119,gene120,gene121,gene122,gene123,gene124,gene125,gene126,gene127,gene128,gene129,gene130,gene131,gene132,gene133,gene134,gene135,gene136,gene137,gene138,gene139,gene140,gene141,gene142,gene143,gene144,gene145,gene146,gene147,gene148,gene149,gene150,gene151,gene152,gene153,gene154,gene155,gene156,gene157,gene158,gene159,gene160,gene161,gene162,gene163,gene164,gene165,gene166,gene167,gene168,gene169,gene170
reg1,1,0,0,0,0,1,-1,1,1,1,1,1,1,1,1,0,0,-1,0,0,1,-1,1,1,-1,0,0,0,0,0,1,-1,0,0,1,1,0,0,1,-1,0,0,0,0,-1,0,1,0,1,0,-1,1,1,0,1,1,0,-1,0,0,0,0,0,-1,1,0,0,1,1,0,0,1,1,-1,0,0,1,0,0,-1,1,1,1,1,0,1,1,0,0,0,0,-1,0,-1,1,0,1,0,0,0,1,0,1,0,0,-1,0,0,1,0,1,1,-1,0,1,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,1,-1,-1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,-1,-1,0,1,-1,0,1,0,1,0,-1,1,0,-1,0,1,0,1,0,0,-1,0,1,-1,-1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,-1,0,0,-1,-1,1,0,0,-1,1,1,0
reg2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reg3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reg4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reg5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reg6,-1,1,0,0,0,1,1,-1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,-1,-1,1,1,0,1,0,0,-1,1,-1,1,0,1,1,1,-1,-1,0,0,0,0,1,-1,0,0,1,-1,1,0,-1,0,1,1,1,1,1,-1,1,0,0,1,1,0,0,1,0,1,1,0,-1,0,0,0,-1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,-1,0,0,0,0,0,-1,1,1,0,0,1,0,0,0,0,1,1,0,1,-1,1,-1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,-1,1,1,0,1,-1,0,1,0,-1,1,1,1,-1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,-1,0,0,1,0,1,0,1,0,0,-1,1
reg7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reg8,-1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,-1,-1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,-1,0,0,1,0,1,0,0,0,0,1,0,-1,-1,-1,1,-1,0,1,1,1,-1,1,0,0,-1,1,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,0,1,1,1,-1,1,0,0,0,1,1,-1,1,1,1,0,-1,0,1,-1,1,0,1,1,0,1,0,0,1,-1,0,1,1,-1,1,0,1,0,0,0,0,1,-1,0,0,1,1,-1,0,0,1,1,1,0,0,-1,1,0,0,1,1,-1,0,0,0,0,0,-1,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,-1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,-1,0,0,1,-1,-1,0,0,0,0
reg9,0,-1,-1,1,0,0,0,0,1,1,1,-1,0,1,0,0,0,-1,0,0,0,0,0,-1,0,0,1,0,-1,1,1,-1,0,0,1,0,-1,0,1,1,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,1,-1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,-1,1,1,1,1,0,1,1,1,1,0,-1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,-1,0,1,0,1,0,0,1,0,1,0,1,-1,1,0,0,0,-1,1,1,0,-1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,-1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1,0,-1,1,0,0,1,0,-1,0,1,0,1,-1,1,1,1,0
reg10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
