t,p,n,nu_0,mu,gamma,no_edges,bic value,precision,,,,,,,,precision_avg,recall,,,,,,,,recall_avg,F1,,,,,,,,F1_avg,Time(sec),mask_diag
8,65,2000,0.0005,100.0,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.341051816940308,True
8,65,2000,0.0005,91.15888299750823,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.27132773399353,True
8,65,2000,0.0005,83.09941949353396,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.267469644546509,True
8,65,2000,0.0005,75.75250258771912,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.26316237449646,True
8,65,2000,0.0005,69.05513520162327,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.254632234573364,True
8,65,2000,0.0005,62.94988990221888,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.2626166343688965,True
8,65,2000,0.0005,57.384416483023955,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.262285947799683,True
8,65,2000,0.0005,52.31099308056263,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.242753744125366,True
8,65,2000,0.0005,47.68611697714469,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.2694103717803955,True
8,65,2000,0.0005,43.47013158125024,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.292971134185791,True
8,65,2000,0.0005,39.626886387014785,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.277476072311401,True
8,65,2000,0.0005,36.123426997094306,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.273319959640503,True
8,65,2000,0.0005,32.929712550971516,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.306440591812134,True
