T,p,N,Lamb,Epsilon0,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
1,65,2000,1000,0.1,0,NA,NA,Inf,1.329,0
1,65,2000,911.588829975082,0.1,0,NA,NA,Inf,1.26,0
1,65,2000,830.99419493534,0.1,0,NA,NA,Inf,1.251,0
1,65,2000,757.525025877191,0.1,0,NA,NA,Inf,1.099,0
1,65,2000,690.551352016233,0.1,0,NA,NA,Inf,1.105,0
1,65,2000,629.498899022189,0.1,0,NA,NA,Inf,1.159,0
1,65,2000,573.844164830239,0.1,0,NA,NA,Inf,1.146,0
1,65,2000,523.109930805626,0.1,0,NA,NA,Inf,1.1,0
1,65,2000,476.861169771447,0.1,0,NA,NA,Inf,1.151,0
1,65,2000,434.701315812503,0.1,0,NA,NA,Inf,1.168,0
1,65,2000,396.268863870148,0.1,0,NA,NA,Inf,1.1,0
1,65,2000,361.234269970943,0.1,0,NA,NA,Inf,1.113,0
1,65,2000,329.297125509715,0.1,0,NA,NA,Inf,1.163,0
1,65,2000,300.183581357559,0.1,0,NA,NA,Inf,1.169,0
1,65,2000,273.643999707467,0.1,0,NA,NA,Inf,1.099,0
1,65,2000,249.450813523032,0.1,0,NA,NA,Inf,1.106,0
1,65,2000,227.396575235793,0.1,0,NA,NA,Inf,1.111,0
1,65,2000,207.292177959537,0.1,0,NA,NA,Inf,1.206,0
1,65,2000,188.965233969121,0.1,0,NA,NA,Inf,1.102,0
1,65,2000,172.258596539879,0.1,0,NA,NA,Inf,1.105,0
1,65,2000,157.029012472938,0.1,0,NA,NA,Inf,1.111,0
1,65,2000,143.145893752348,0.1,0,NA,NA,Inf,1.167,0
1,65,2000,130.49019780144,0.1,0,NA,NA,Inf,1.098,0
1,65,2000,118.953406737032,0.1,0,NA,NA,Inf,1.148,0
1,65,2000,108.436596868961,0.1,0,NA,NA,Inf,1.118,0
1,65,2000,98.8495904662559,0.1,0,NA,NA,Inf,1.174,0
1,65,2000,90.1101825166502,0.1,0,NA,NA,Inf,1.099,0
1,65,2000,82.1434358491943,0.1,0,NA,NA,Inf,1.10599999999999,0
1,65,2000,74.8810385759002,0.1,0,NA,NA,Inf,1.113,0
1,65,2000,68.2607183427239,0.1,0,NA,NA,Inf,1.168,0
1,65,2000,62.2257083673023,0.1,0,NA,NA,Inf,1.099,0
1,65,2000,56.7242606849198,0.1,0,NA,NA,Inf,1.109,0
1,65,2000,51.7092024289676,0.1,0,NA,NA,Inf,1.154,0
1,65,2000,47.1375313411672,0.1,0,NA,NA,Inf,1.17,0
1,65,2000,42.9700470432084,0.1,0,NA,NA,Inf,1.101,0
1,65,2000,39.1710149080926,0.1,0,NA,NA,Inf,1.108,0
1,65,2000,35.7078596490046,0.1,0,NA,NA,Inf,1.116,0
1,65,2000,32.5508859983506,0.1,0,NA,NA,Inf,1.17,0
1,65,2000,29.6730240818887,0.1,0,NA,NA,Inf,1.104,0
1,65,2000,27.0495973046313,0.1,0,NA,NA,Inf,1.11,0
1,65,2000,24.658110758226,0.1,0,NA,NA,Inf,1.111,0
1,65,2000,22.4780583354873,0.1,0,NA,NA,Inf,1.164,0
1,65,2000,20.4907468981585,0.1,0,NA,NA,75831.9146037693,1.1,0
1,65,2000,18.6791359902078,0.1,0,NA,NA,55845.4487297177,1.151,0
1,65,2000,17.027691722259,0.1,0,NA,NA,44472.093055066,1.128,0
1,65,2000,15.5222535742705,0.1,0,NA,NA,36700.2017154172,1.13500000000001,0
1,65,2000,14.1499129743458,0.1,0,NA,NA,30923.5776382745,1.09699999999999,0
1,65,2000,12.8989026125331,0.1,0.00239234449760766,1,0.00477326968973747,26678.5284342201,1.112,1
1,65,2000,11.7584955405216,0.1,0.00239234449760766,1,0.00477326968973747,23043.681571637,1.121,1
1,65,2000,10.7189131920513,0.1,0.00239234449760766,1,0.00477326968973747,20046.5085516152,1.142,1
1,65,2000,9.7712415353465,0.1,0.00239234449760766,1,0.00477326968973747,17797.3329633156,1.099,1
1,65,2000,8.90735463861044,0.1,0.00239234449760766,1,0.00477326968973747,15926.4972423375,1.112,1
1,65,2000,8.11984499318401,0.1,0.00239234449760766,1,0.00477326968973747,14094.2394514082,1.12,1
1,65,2000,7.40195999691564,0.1,0.00239234449760766,1,0.00477326968973747,13037.1815438628,1.14100000000001,1
1,65,2000,6.74754405311069,0.1,0.00478468899521531,1,0.00952380952380952,12976.9490400093,1.099,2
1,65,2000,6.1509857885805,0.1,0.00478468899521531,1,0.00952380952380952,12031.4013443864,1.107,2
1,65,2000,5.60716993820546,0.1,0.00717703349282297,1,0.0142517814726841,11759.3801152759,1.11200000000001,3
