T,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
1,65,2000,1000,0.001,NA,NA,NA,8024864.63974771,0.481,NA
1,65,2000,754.312006335462,0.001,NA,NA,NA,8024864.63974771,0.494,NA
1,65,2000,568.98660290183,0.001,NA,NA,NA,8024864.63974771,0.524,NA
1,65,2000,429.193426012878,0.001,NA,NA,NA,8024864.63974771,0.457000000000001,NA
1,65,2000,323.745754281764,0.001,NA,NA,NA,8024864.63974771,0.462,NA
1,65,2000,244.205309454865,0.001,NA,NA,NA,8024864.63974771,0.492999999999999,NA
1,65,2000,184.206996932672,0.001,NA,NA,NA,8024864.63974771,0.462,NA
1,65,2000,138.949549437314,0.001,NA,NA,NA,8024864.63974771,0.455,NA
1,65,2000,104.811313415469,0.001,NA,NA,NA,8024864.63974771,0.453,NA
1,65,2000,79.060432109077,0.001,NA,NA,NA,8024864.63974771,0.457000000000001,NA
1,65,2000,59.6362331659464,0.001,NA,NA,NA,8024864.63974771,0.453999999999999,NA
1,65,2000,44.9843266896945,0.001,NA,NA,NA,8024864.63974771,0.460999999999999,NA
1,65,2000,33.9322177189533,0.001,NA,NA,NA,8024864.63974771,0.456,NA
1,65,2000,25.5954792269954,0.001,NA,NA,NA,8024864.63974771,0.495999999999999,NA
1,65,2000,19.3069772888325,0.001,NA,NA,NA,8024864.63974771,0.459,NA
1,65,2000,14.5634847750124,0.001,NA,NA,NA,8024864.63974771,0.49,NA
1,65,2000,10.9854114198756,0.001,NA,NA,NA,8024864.63974771,0.455,NA
1,65,2000,8.28642772854684,0.001,NA,NA,NA,8024864.63974772,0.456,NA
1,65,2000,6.25055192527398,0.001,NA,NA,NA,8024864.63974772,0.454000000000001,NA
1,65,2000,4.71486636345739,0.001,NA,NA,NA,8024864.63974772,0.501999999999999,NA
1,65,2000,3.55648030622313,0.001,NA,NA,NA,8024864.63974772,0.455,NA
1,65,2000,2.68269579527973,0.001,NA,NA,NA,8024864.63974773,0.489000000000001,NA
1,65,2000,2.02358964772516,0.001,NA,NA,NA,8024864.63974773,0.461,NA
1,65,2000,1.52641796717523,0.001,NA,NA,NA,8024864.63974773,0.455,NA
1,65,2000,1.15139539932645,0.001,NA,NA,NA,8024864.63974773,0.459,NA
1,65,2000,0.868511373751353,0.001,NA,NA,NA,8024864.63974773,0.451000000000001,NA
1,65,2000,0.655128556859551,0.001,NA,NA,NA,8024864.63974773,0.452999999999999,NA
1,65,2000,0.494171336132383,0.001,NA,NA,NA,8024864.63974773,0.458000000000002,NA
1,65,2000,0.372759372031494,0.001,NA,NA,NA,8024864.63973541,0.384,NA
1,65,2000,0.281176869797423,0.001,NA,NA,NA,8024864.63973721,0.414999999999999,NA
1,65,2000,0.212095088792019,0.001,NA,NA,NA,8024864.63973899,0.384,NA
1,65,2000,0.159985871960606,0.001,NA,NA,NA,8024864.63974076,0.388999999999999,NA
1,65,2000,0.120679264063933,0.001,NA,NA,NA,8024864.63974244,0.413,NA
1,65,2000,0.0910298177991523,0.001,NA,NA,NA,8024864.63974394,0.384,NA
1,65,2000,0.06866488450043,0.001,NA,NA,NA,8024864.63974518,0.378,NA
1,65,2000,0.0517947467923121,0.001,NA,NA,NA,8024864.63974613,0.414999999999999,NA
1,65,2000,0.0390693993705462,0.001,NA,NA,NA,8024864.63974679,0.379999999999999,NA
1,65,2000,0.0294705170255181,0.001,NA,NA,NA,8024864.63974721,0.382999999999999,NA
1,65,2000,0.022229964825262,0.001,NA,NA,NA,8024864.63974746,0.385999999999999,NA
1,65,2000,0.0167683293681101,0.001,NA,NA,NA,8024864.63974759,0.376000000000001,NA
1,65,2000,0.012648552168553,0.001,NA,NA,NA,8024864.63974766,0.376000000000001,NA
1,65,2000,0.00954095476349994,0.001,NA,NA,NA,8024864.6397477,0.382999999999999,NA
1,65,2000,0.00719685673001153,0.001,NA,NA,NA,8024864.63974772,0.373999999999999,NA
1,65,2000,0.00542867543932386,0.001,NA,NA,NA,8024864.63974772,0.381,NA
1,65,2000,0.00409491506238043,0.001,NA,NA,NA,8024864.63971909,0.306999999999999,NA
1,65,2000,0.00308884359647748,0.001,NA,NA,NA,8024864.63973114,0.306000000000001,NA
1,65,2000,0.00232995181051537,0.001,NA,NA,NA,8024864.63973802,0.305,NA
1,65,2000,0.00175751062485479,0.001,NA,NA,NA,8024864.63974201,0.345000000000002,NA
1,65,2000,0.00132571136559011,0.001,NA,NA,NA,8024864.63974433,0.308,NA
1,65,2000,0.001,0.001,NA,NA,NA,8024864.63974569,0.314999999999998,NA
