rand_seed,t,p,n,nu_0,mu,gamma,bic value,precision,recall,F1,Time(min),seed,n_by_p
1337.0,20.0,2000.0,500.0,0.001,0.001,1.0,20434742.64844528,0.8583848273279298,0.5387676292813969,0.6620178867994595,64.95343059561661,1337.0,0.25
1337.0,20.0,2000.0,1000.0,0.001,0.001,1.0,40112396.77161686,0.978823897403816,0.5253059374527874,0.6836936454703356,65.6077537138015,1337.0,0.5
1337.0,20.0,2000.0,2000.0,0.0005,0.001,1.0,79749296.2662214,0.9527759586698684,0.6619148721059549,0.7811483967188665,67.8071731536164,1337.0,1.0
1337.0,20.0,2000.0,10000.0,0.0001,0.001,1.0,394961694.458761,0.914418484574674,0.8360957021699911,0.8735049058465008,69.02987540584678,1337.0,5.0
1337.0,20.0,2000.0,20000.0,0.0001,0.001,1.0,788600853.3281524,0.919472230516572,0.8306190572526806,0.8727900797165633,66.36152486330829,1337.0,10.0
1337.0,20.0,2000.0,30000.0,0.0001,0.001,1.0,1182195098.9386635,0.920022423619546,0.8298499915725602,0.8726128760689441,64.37985912386017,1337.0,15.0
1337.0,20.0,2000.0,40000.0,0.0001,0.001,1.0,1575818009.7466574,0.9202922927412724,0.8301387413813449,0.8728938995098691,66.31698998332334,1337.0,20.0
1337.0,20.0,2000.0,50000.0,0.0001,0.001,1.0,1969435780.575833,0.9201205022173156,0.8289895141441047,0.8721809845602646,64.38008809570844,1337.0,25.0
1337.0,20.0,2000.0,60000.0,0.0001,0.001,1.0,2363086279.494857,0.9199461319766572,0.8291720754589746,0.8722036513242478,65.86913742463415,1337.0,30.0
1338.0,20.0,2000.0,500.0,0.001,0.001,1.0,20445636.614653967,0.8583547420252623,0.5386320509160524,0.6619065798569911,66.74411287830056,1338.0,0.25
1338.0,20.0,2000.0,1000.0,0.001,0.001,1.0,40120648.90365453,0.9779258382888631,0.5272611293896461,0.6851272207741216,63.46764441623042,1338.0,0.5
1338.0,20.0,2000.0,2000.0,0.0005,0.001,1.0,79760766.8469105,0.9529785120763584,0.662646340436284,0.7817256865784349,65.59147631911716,1338.0,1.0
1338.0,20.0,2000.0,10000.0,0.0001,0.001,1.0,394942683.80299,0.9151481481481482,0.8333839252588621,0.8723543222298716,64.1439217886577,1338.0,5.0
1338.0,20.0,2000.0,20000.0,0.0001,0.001,1.0,788595281.512031,0.919883738262036,0.8325660612805855,0.8740495516627866,64.82825063249717,1338.0,10.0
1338.0,20.0,2000.0,30000.0,0.0001,0.001,1.0,1182209509.6471202,0.9202791721872844,0.8314225983747513,0.8735972223452405,66.15725221157385,1338.0,15.0
1338.0,20.0,2000.0,40000.0,0.0001,0.001,1.0,1575829725.0839264,0.9198737699101824,0.830473043595536,0.8728902906858274,69.92298818038155,1338.0,20.0
1338.0,20.0,2000.0,50000.0,0.0001,0.001,1.0,1969450876.9587955,0.9202153512543464,0.8298941263739968,0.8727240492864107,66.32940985135113,1338.0,25.0
1338.0,20.0,2000.0,60000.0,0.0001,0.001,1.0,2363036452.7777014,0.9202444814115625,0.8300709793805743,0.8728349318347014,65.61672412933162,1338.0,30.0
1339.0,20.0,2000.0,500.0,0.001,0.001,1.0,20428770.26688291,0.8601505370583666,0.5392533879662127,0.6629095187960612,64.31393056331824,1339.0,0.25
1339.0,20.0,2000.0,1000.0,0.001,0.001,1.0,40099011.34135121,0.9785502727981292,0.5270431380451027,0.6850962587855242,65.16427425409978,1339.0,0.5
1339.0,20.0,2000.0,2000.0,0.0005,0.001,1.0,79728164.46696503,0.9529242896068508,0.6596662007174495,0.7796299797971756,64.26461264360697,1339.0,1.0
1339.0,20.0,2000.0,10000.0,0.0001,0.001,1.0,394951987.7967802,0.9152055986521764,0.8336368848865054,0.8725189963904652,64.09138930374756,1339.0,5.0
1339.0,20.0,2000.0,20000.0,0.0001,0.001,1.0,788570840.3032441,0.9196145674134268,0.8319451001551225,0.8735858076167207,64.78538179332391,1339.0,10.0
1339.0,20.0,2000.0,30000.0,0.0001,0.001,1.0,1182233780.6406548,0.919460206062416,0.8305682009779126,0.8727565862905942,65.95882924180478,1339.0,15.0
1339.0,20.0,2000.0,40000.0,0.0001,0.001,1.0,1575867004.479607,0.9201494628678188,0.8303295962235522,0.8729351293867423,65.88996279599766,1339.0,20.0
1339.0,20.0,2000.0,50000.0,0.0001,0.001,1.0,1969527893.7760544,0.9200882919620644,0.8292226511792572,0.8722955238703269,64.19755541480457,1339.0,25.0
1339.0,20.0,2000.0,60000.0,0.0001,0.001,1.0,2363123667.7791243,0.9201473282728192,0.8295268755583273,0.872490360324425,64.10592840466028,1339.0,30.0
1340.0,20.0,2000.0,500.0,0.001,0.001,1.0,20441666.63473641,0.8577345482724528,0.5389445759666885,0.6619578890928214,65.95955039262772,1340.0,0.25
1340.0,20.0,2000.0,1000.0,0.001,0.001,1.0,40112567.643995024,0.9779669971099164,0.5283126563365622,0.6860244588319927,63.58005447184357,1340.0,0.5
1340.0,20.0,2000.0,2000.0,0.0005,0.001,1.0,79759421.76829897,0.9529357396507272,0.6601347935973041,0.7799609810479375,67.4871058276544,1340.0,1.0
1340.0,20.0,2000.0,10000.0,0.0001,0.001,1.0,394991808.7131726,0.9154916546389844,0.8343733135456017,0.8730522860823376,64.52878918554634,1340.0,5.0
1340.0,20.0,2000.0,20000.0,0.0001,0.001,1.0,788623256.7656913,0.9191313417268868,0.8319846247218289,0.8733894945490585,64.57341069703301,1340.0,10.0
1340.0,20.0,2000.0,30000.0,0.0001,0.001,1.0,1182197848.6484616,0.9208369887816624,0.8315409769746822,0.8739138522041825,64.79475795306887,1340.0,15.0
1340.0,20.0,2000.0,40000.0,0.0001,0.001,1.0,1575821632.254678,0.9199087662883958,0.829596034529269,0.8724213437824133,67.63538404892509,1340.0,20.0
1340.0,20.0,2000.0,50000.0,0.0001,0.001,1.0,1969437371.171891,0.9201322721667976,0.8304696062726583,0.8730047593303258,64.2069377825285,1340.0,25.0
1340.0,20.0,2000.0,60000.0,0.0001,0.001,1.0,2363070654.166075,0.9201547923949824,0.8298069628255922,0.8726486179813131,65.78258020073797,1340.0,30.0
1341.0,20.0,2000.0,500.0,0.001,0.001,1.0,20440204.68032709,0.8603260578109079,0.5386552505666079,0.6625094209108084,67.20112485789383,1341.0,0.25
1341.0,20.0,2000.0,1000.0,0.001,0.001,1.0,40113630.92903273,0.978525972601022,0.5240501653711197,0.682556690210142,63.12300332793966,1341.0,0.5
1341.0,20.0,2000.0,2000.0,0.0005,0.001,1.0,79756301.40387207,0.9529871011541072,0.6620123964158189,0.7812872704142482,67.52951000857477,1341.0,1.0
1341.0,20.0,2000.0,10000.0,0.0001,0.001,1.0,394968603.4215164,0.9151656228638992,0.8352780494385054,0.8733988627848548,64.1027447947301,1341.0,5.0
1341.0,20.0,2000.0,20000.0,0.0001,0.001,1.0,788569084.4558762,0.9192122636231398,0.8309730932632005,0.8728682994209213,63.55215926853319,1341.0,10.0
1341.0,20.0,2000.0,30000.0,0.0001,0.001,1.0,1182211581.542865,0.9201621793314774,0.8303070153254767,0.8729283726536328,67.50695429110588,1341.0,15.0
1341.0,20.0,2000.0,40000.0,0.0001,0.001,1.0,1575854256.5321336,0.9198541783510936,0.8296322525165664,0.8724168195962659,66.12320820655053,1341.0,20.0
1341.0,20.0,2000.0,50000.0,0.0001,0.001,1.0,1969499675.049118,0.919701754713808,0.8297814944699218,0.8724307555949479,63.09082728202144,1341.0,25.0
1341.0,20.0,2000.0,60000.0,0.0001,0.001,1.0,2363100341.8903565,0.9203135816790464,0.8293094146209873,0.8724447715925114,67.28632418842365,1341.0,30.0
