rd_seed,Alg,t,p,n,Cat,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
1341,Cat_alg,3,250,5000.0,Cat1,0.0005,0.0001,1,0.1876415399547072,0.7945205479452054,0.3035854488353834,22.87773871421814,3868427.017048345,3867791.1707420014
1341,Cat_alg,3,250,5000.0,Cat2,0.0005,0.0001,1,0.182596060703907,0.7751884852638794,0.2955703645629165, ,3867155.32443566,
1341,Direct_alg,3,250,5000.0,Cat1,0.0005,0.0001,1,0.2795826416884041,0.8075342465753425,0.4153602254711995,8.763779878616333,3832104.316334119,3830699.6474556914
1341,Direct_alg,3,250,5000.0,Cat2,0.0005,0.0001,1,0.2759530088707744,0.7888965044551063,0.4088809946714032,8.762331485748291,3829294.978577264,
1341,Cat_alg,3,250,5000.0,Cat1,0.0005,0.001,1,0.8752436647173489,0.6150684931506849,0.7224456958970232,23.438518524169922,3728673.525432847,3727710.2551142266
1341,Cat_alg,3,250,5000.0,Cat2,0.0005,0.001,1,0.8762278978388998,0.6113776559287183,0.7202260799354057, ,3726746.984795607,
1341,Direct_alg,3,250,5000.0,Cat1,0.0005,0.001,1,0.7212003872216844,0.5102739726027398,0.5976734857601285,10.028681516647339,3743796.215894375,3743194.01270291
1341,Direct_alg,3,250,5000.0,Cat2,0.0005,0.001,1,0.7061068702290076,0.5071967100753941,0.5903470283207021,9.007263422012329,3742591.809511445,
1341,Cat_alg,3,250,5000.0,Cat1,0.0001,0.0001,1,0.0342873190533329,0.91986301369863,0.0661104137438775,23.17771077156067,4821625.890962305,4820356.743497632
1341,Cat_alg,3,250,5000.0,Cat2,0.0001,0.0001,1,0.0340871342787785,0.914324880054832,0.0657239986204858, ,4819087.596032959,
1341,Direct_alg,3,250,5000.0,Cat1,0.0001,0.0001,1,0.0476139639158748,0.9164383561643836,0.0905246777849193,9.355772733688354,4521931.82387349,4523007.892899891
1341,Direct_alg,3,250,5000.0,Cat2,0.0001,0.0001,1,0.0471026049973418,0.9108978752570254,0.0895733638875783,10.341550827026367,4524083.961926293,
1341,Cat_alg,3,250,5000.0,Cat1,0.0001,0.001,1,0.26170163707632,0.7773972602739726,0.391581852682422,22.717578172683716,3812102.381056707,3811213.83053026
1341,Cat_alg,3,250,5000.0,Cat2,0.0001,0.001,1,0.2583776288421539,0.7662782727895819,0.3864500518492914, ,3810325.280003813,
1341,Direct_alg,3,250,5000.0,Cat1,0.0001,0.001,1,0.6463171864631718,0.6671232876712329,0.6565554432086282,9.208307266235352,3752609.630296108,3752117.830658849
1341,Direct_alg,3,250,5000.0,Cat2,0.0001,0.001,1,0.6299212598425197,0.6579849211788896,0.6436473348977538,10.145428895950317,3751626.0310215903,
