rd_seed,Alg,t,p,n,Cat,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
1337,Cat_alg,3,250,5000.0,Cat1,0.0005,0.001,1,0.8720472440944882,0.6068493150684932,0.7156704361873989,22.42875385284424,3730253.122525945,3729546.736314233
1337,Cat_alg,5,250,5000.0,Cat1,0.0005,0.001,1,0.8986083499005965,0.5568788501026694,0.6876267748478703,43.70994853973389,6226716.918159359,6225614.564755073
1337,Cat_alg,10,250,5000.0,Cat1,0.0005,0.001,1,0.8993923024983119,0.547584789311408,0.6807205825986968,86.81946611404419,12444505.56854676,12444055.197801258
1337,Cat_alg,20,250,5000.0,Cat1,0.0005,0.001,1,0.898840885142255,0.5256778964667215,0.6633830200907324,184.76454305648804,24953436.7949761,24953780.12796679
1337,Cat_alg,50,250,5000.0,Cat1,0.0005,0.001,1,0.9056277056277056,0.4724286594128515,0.6209390178089584,639.6391704082489,62470764.30084637,62470468.27556065
1337,Cat_alg,100,250,5000.0,Cat1,0.0005,0.001,1,0.8968438805011243,0.4587938046916724,0.6070448183078303,1714.4946112632751,124984177.30739751,124982895.54352333
1338,Cat_alg,3,250,5000.0,Cat1,0.0005,0.001,1,0.8734177215189873,0.6143835616438356,0.7213510253317249,22.804577827453613,3732441.972818323,3731577.1490380354
1338,Cat_alg,5,250,5000.0,Cat1,0.0005,0.001,1,0.8950819672131147,0.5605749486652978,0.6893939393939394,41.77814793586731,6225305.449192982,6224471.820946099
1338,Cat_alg,10,250,5000.0,Cat1,0.0005,0.001,1,0.8946666666666667,0.5516957862281603,0.6825174825174825,84.86784982681274,12454491.509898888,12453960.163793985
1338,Cat_alg,20,250,5000.0,Cat1,0.0005,0.001,1,0.8988126882863725,0.5209531635168447,0.6596007542753105,197.83263683319092,24954428.3798439,24954852.33083153
1338,Cat_alg,50,250,5000.0,Cat1,0.0005,0.001,1,0.9019577133907596,0.4729213713816464,0.6204983164983165,601.6365163326263,62482207.74882355,62482443.276816286
1338,Cat_alg,100,250,5000.0,Cat1,0.0005,0.001,1,0.8977277297405992,0.4585267655396245,0.6070132024419759,1598.4432656764984,124957804.9625176,124958560.49284296
1339,Cat_alg,3,250,5000.0,Cat1,0.0005,0.001,1,0.892,0.6109589041095891,0.7252032520325205,22.610321521759033,3727110.046351578,3726138.913863828
1339,Cat_alg,5,250,5000.0,Cat1,0.0005,0.001,1,0.9004707464694015,0.5498973305954825,0.6828148903620602,42.857933044433594,6220095.602708428,6218831.133487612
1339,Cat_alg,10,250,5000.0,Cat1,0.0005,0.001,1,0.9028932490854672,0.5580678314491264,0.6897865853658537,87.63341355323792,12438738.143330032,12438512.359736675
1339,Cat_alg,20,250,5000.0,Cat1,0.0005,0.001,1,0.9072870939420544,0.5307107641741988,0.6696908819907976,183.54537749290466,24941230.76964096,24940954.07987068
