rd_seed,Alg,t,p,n,Cat,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
10195,Direct_alg,20,250,250.0,Cat1,0.001,0.001,1,0.0220555281248813,0.5964461791290058,0.0425380732970486,82.07141041755676,8328212.50565907,8329708.474559145
10195,Direct_alg,20,250,1250.0,Cat1,0.001,0.001,1,0.5773834972210347,0.2774239934264585,0.374774524767587,98.75260829925537,6348750.726946377,6349504.715482818
10195,Direct_alg,20,250,2500.0,Cat1,0.001,0.001,1,0.8787666433076384,0.2576006573541495,0.3984114376489277,80.83479928970337,12536466.556743626,12536805.441009017
10195,Direct_alg,20,250,3750.0,Cat1,0.001,0.001,1,0.8915441176470589,0.249075595727198,0.3893705844572897,82.82052564620972,18764347.67362225,18763920.98148773
10195,Direct_alg,20,250,5000.0,Cat1,0.001,0.001,1,0.8862120088954781,0.2455834018077239,0.3845906385716583,87.86462163925171,24992849.01189957,24992148.213936426
10195,Direct_alg,20,250,6250.0,Cat1,0.001,0.001,1,0.8910520404342943,0.2444535743631881,0.3836543886515677,83.12753558158875,31226678.285011467,31226492.06959562
10195,Direct_alg,20,250,7500.0,Cat1,0.0005,0.001,1,0.890758239225628,0.3969802793755135,0.5492007104795738,83.38331532478333,37444962.930094376,37444464.0697753
2338,Direct_alg,20,250,250.0,Cat1,0.001,0.001,1,0.0214980824907914,0.5826828266228431,0.0414662670857393,80.9312481880188,8345451.5053993,8323058.762601213
2338,Direct_alg,20,250,1250.0,Cat1,0.001,0.001,1,0.5782932891466446,0.2867707477403451,0.3834111507827519,94.1449224948883,6355079.5730265295,6354087.979722673
2338,Direct_alg,20,250,2500.0,Cat1,0.001,0.001,1,0.878987517337032,0.2603738701725555,0.401743264659271,79.38895177841187,12533950.275259404,12533162.058658795
2338,Direct_alg,20,250,3750.0,Cat1,0.001,0.001,1,0.8917151162790697,0.2520542317173377,0.3930172966047405,81.64149212837219,18755026.127878413,18754947.985472742
2338,Direct_alg,20,250,5000.0,Cat1,0.001,0.001,1,0.8956554028963981,0.2477403451109285,0.388124547429399,82.98987102508545,24982075.96983371,24981688.212785363
2338,Direct_alg,20,250,6250.0,Cat1,0.001,0.001,1,0.8954393770856507,0.2480484798685291,0.3884822649400788,90.33938241004944,31213640.600544147,31213162.422974937
2338,Direct_alg,20,250,7500.0,Cat1,0.0005,0.001,1,0.8928322894919972,0.3953368940016434,0.5480173702569945,83.06310892105103,37433428.07485363,37432428.22276829
339,Direct_alg,20,250,250.0,Cat1,0.001,0.001,1,0.0217206842735275,0.5889482333607231,0.0418962166269673,80.66490483283997,8348180.348841412,8336714.874313536
339,Direct_alg,20,250,1250.0,Cat1,0.001,0.001,1,0.5833676410045286,0.2910846343467543,0.3883787858023846,83.76082372665405,6360717.025184764,6359458.315824145
339,Direct_alg,20,250,2500.0,Cat1,0.001,0.001,1,0.8812087530392497,0.2605792933442892,0.4022195798652397,83.52085518836975,12542846.632426966,12541975.846281003
339,Direct_alg,20,250,3750.0,Cat1,0.001,0.001,1,0.8927007299270073,0.2512325390304026,0.3921128566848348,82.57390189170837,18762892.974896364,18761963.734461352
339,Direct_alg,20,250,5000.0,Cat1,0.001,0.001,1,0.8914389799635701,0.2513352506162695,0.3921160163448441,81.00713038444519,24988483.57067597,24988302.189522527
339,Direct_alg,20,250,6250.0,Cat1,0.001,0.001,1,0.8962906888720666,0.2432210353327855,0.3826143157214413,85.10379457473755,31212032.824976284,31212750.602622204
339,Direct_alg,20,250,7500.0,Cat1,0.0005,0.001,1,0.8895295202952029,0.3961585866885784,0.5481807845366686,84.80924725532532,37439943.9310869,37439923.82652714
40,Direct_alg,20,250,250.0,Cat1,0.001,0.001,1,0.0210165824149451,0.5666598192276089,0.0405299677126684,92.13673210144043,8307488.447253535,8300256.929164339
40,Direct_alg,20,250,1250.0,Cat1,0.001,0.001,1,0.583145376255895,0.2921117502054232,0.3892424553479778,81.20343279838562,6356309.493139742,6354739.280456297
40,Direct_alg,20,250,2500.0,Cat1,0.001,0.001,1,0.8819515523712044,0.2655094494658997,0.4081471540222626,90.36816906929016,12536946.018447764,12536085.903142326
40,Direct_alg,20,250,3750.0,Cat1,0.001,0.001,1,0.8928184770840851,0.2541084634346754,0.395618453665947,82.88046169281006,18760997.120539986,18760222.03721933
40,Direct_alg,20,250,5000.0,Cat1,0.001,0.001,1,0.8958026509572902,0.2498972884141331,0.3907805974943784,79.7055492401123,24987441.82565545,24986930.82208888
40,Direct_alg,20,250,6250.0,Cat1,0.001,0.001,1,0.8932835820895523,0.2458915365653245,0.385631443298969,85.37168860435486,31208915.00237352,31207990.83776486
40,Direct_alg,20,250,7500.0,Cat1,0.0005,0.001,1,0.8894872395223601,0.3902013147082991,0.5424430641821946,84.27686262130737,37434196.67523327,37434885.67402431
51341,Direct_alg,20,250,250.0,Cat1,0.001,0.001,1,0.0217337236220321,0.5834018077239113,0.0419062936908156,83.9437530040741,8275723.357331492,8274641.414202552
51341,Direct_alg,20,250,1250.0,Cat1,0.001,0.001,1,0.5793911970382558,0.2893385373870172,0.3859432799013563,87.81062960624695,6349601.463652051,6348299.165775441
51341,Direct_alg,20,250,2500.0,Cat1,0.001,0.001,1,0.8808777429467085,0.2597576006573541,0.401205679384469,81.21853160858154,12526342.93713885,12525962.782807384
51341,Direct_alg,20,250,3750.0,Cat1,0.001,0.001,1,0.8889296187683284,0.249075595727198,0.3891206675224647,85.05308032035828,18751315.85289696,18751404.387452923
