rand_seed,t,p,n,nu_0,mu,gamma,bic value,precision,recall,F1,Time(min),seed,n_by_p
1337.0,20.0,2000.0,500.0,0.001,0.001,1.0,20434742.64844528,0.6995971174033933,0.3097738693467337,0.4294098183654632,67.11695278778595,1337.0,0.25
1337.0,20.0,2000.0,1000.0,0.001,0.001,1.0,40112396.77161686,0.9445036478399867,0.2894974874371859,0.4431623685070867,63.00795361842029,1337.0,0.5
1337.0,20.0,2000.0,2000.0,0.0005,0.001,1.0,79749296.2662214,0.9102061522852004,0.4958793969849246,0.641998601239367,64.86872713813403,1337.0,1.0
1337.0,20.0,2000.0,10000.0,0.0001,0.001,1.0,394961694.458761,0.8663306451612903,0.7557537688442211,0.8072732152442298,63.10635719251198,1337.0,5.0
1337.0,20.0,2000.0,20000.0,0.0001,0.001,1.0,788600853.3281524,0.8733415521897382,0.7475628140703517,0.805572101586614,63.77647711965256,1337.0,10.0
1337.0,20.0,2000.0,30000.0,0.0001,0.001,1.0,1182195098.9386635,0.8740620862145064,0.746356783919598,0.8051772040387613,65.50931614489916,1337.0,15.0
1337.0,20.0,2000.0,40000.0,0.0001,0.001,1.0,1575818009.7466574,0.8745182264850393,0.7468341708542714,0.8056485384000326,64.50195538305367,1337.0,20.0
1337.0,20.0,2000.0,50000.0,0.0001,0.001,1.0,1969435780.575833,0.8741635961680176,0.7451256281407035,0.8045032214309935,65.39967086873949,1337.0,25.0
1337.0,20.0,2000.0,60000.0,0.0001,0.0005,1.0,2363077552.3518577,0.8014731241070109,0.8174623115577889,0.8093887603552504,65.44704589309792,1337.0,30.0
1338.0,20.0,2000.0,500.0,0.001,0.001,1.0,20445636.614653967,0.6995856745558772,0.3096984924623115,0.4293352374649506,66.74761112110379,1338.0,0.25
1338.0,20.0,2000.0,1000.0,0.001,0.001,1.0,40120648.90365453,0.9425771442455656,0.2924120603015075,0.4463535773870021,64.68687096470967,1338.0,0.5
1338.0,20.0,2000.0,2000.0,0.0005,0.001,1.0,79760766.8469105,0.9106106659298148,0.4968090452261307,0.6428780440224989,68.28595687444322,1338.0,1.0
1338.0,20.0,2000.0,10000.0,0.0001,0.001,1.0,394942683.80299,0.8671961045736479,0.7517587939698492,0.8053619014293021,64.69828976056694,1338.0,5.0
1338.0,20.0,2000.0,20000.0,0.0001,0.001,1.0,788595281.512031,0.874162301366656,0.7505276381909548,0.8076408322180313,62.51091328126689,1338.0,10.0
1338.0,20.0,2000.0,30000.0,0.0001,0.001,1.0,1182209509.6471202,0.8746221348281631,0.7487688442211056,0.8068171050316084,65.18948179542397,1338.0,15.0
1338.0,20.0,2000.0,40000.0,0.0001,0.001,1.0,1575829725.0839264,0.8739239018657264,0.7473366834170855,0.8056883591792511,64.6012360634127,1338.0,20.0
