rd_seed,T,n/p,p,lambda(thest),mu0(sparsity),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1994,20,20,250,0.0001,0.0001,1.0,29264722.913,0.909,0.031,0.06,36.025,0.865,1.094
1994,20,20,250,0.0005,0.0001,1.0,25088142.002,0.51,0.494,0.501,36.025,0.866,0.153
1994,20,20,250,0.005,0.0001,1.0,25109356.422,0.0,,,36.025,0.868,0.147
1994,20,20,250,0.0001,0.001,1.0,28404671.071,0.91,0.038,0.074,36.049,0.867,0.211
1994,20,20,250,0.0005,0.001,1.0,25064334.548,0.493,0.472,0.482,36.049,0.868,0.148
1994,20,20,250,0.005,0.001,1.0,25073820.455,0.0,,,36.049,0.87,0.149
1994,20,20,250,0.0001,0.01,1.0,29778185.307,0.879,0.027,0.052,36.154,0.874,0.225
1994,20,20,250,0.0005,0.01,1.0,24984343.339,0.391,0.618,0.479,36.154,0.875,0.149
1994,20,20,250,0.005,0.01,1.0,25003111.229,0.0,,,36.154,0.876,0.148
1994,20,20,250,0.0001,0.0002,1.0,29168614.51,0.913,0.032,0.062,36.028,0.865,0.985
1994,20,20,250,0.0005,0.0002,1.0,25079798.533,0.509,0.509,0.509,36.028,0.866,0.166
1994,20,20,250,0.005,0.0002,1.0,25104524.07,0.0,,,36.028,0.868,0.163
1994,20,20,250,0.0001,0.002,1.0,27830052.086,0.915,0.046,0.087,36.069,0.869,0.225
1994,20,20,250,0.0005,0.002,1.0,25036593.832,0.478,0.496,0.487,36.069,0.87,0.169
1994,20,20,250,0.005,0.002,1.0,25049346.874,0.0,,,36.069,0.871,0.163
1994,20,20,250,0.0001,0.0005,1.0,28900705.429,0.911,0.034,0.065,36.036,0.866,0.223
1994,20,20,250,0.0005,0.0005,1.0,25070788.559,0.508,0.505,0.506,36.036,0.867,0.166
1994,20,20,250,0.005,0.0005,1.0,25091483.64,0.0,,,36.036,0.869,0.165
1994,20,20,250,0.0001,0.0005,1.0,28900705.429,0.911,0.034,0.065,36.036,0.866,0.223
1994,20,20,250,0.0005,0.0005,1.0,25070788.559,0.508,0.505,0.506,36.036,0.867,0.167
1994,20,20,250,0.005,0.0005,1.0,25091483.64,0.0,,,36.036,0.869,0.163
1994,20,20,250,1.000000e-03,1.000000e-04,1.000000e+00,25047493.912,0.251,0.814,0.383,36.025,0.867,0.735 
1994,20,20,250,1.000000e-03,2.000000e-04,1.000000e+00,25044584.468,0.255,0.811,0.388,36.028,0.867,0.143 
1994,20,20,250,1.000000e-03,5.000000e-04,1.000000e+00,25032912.507,0.245,0.805,0.375,36.036,0.868,0.141 
1994,20,20,250,1.000000e-03,1.000000e-03,1.000000e+00,25019858.877,0.247,0.806,0.377,36.049,0.869,0.141 
1994,20,20,250,1.000000e-03,2.000000e-03,1.000000e+00,25000398.516,0.232,0.800,0.360,36.069,0.870,0.144 
1994,20,20,250,1.000000e-03,5.000000e-03,1.000000e+00,24982392.702,0.216,0.790,0.338,36.111,0.873,0.141 
1994,20,20,250,1.000000e-03,1.000000e-02,1.000000e+00,24979567.813,0.176,0.803,0.289,36.154,0.875,0.871 
