rd_seed,T,n/p,p,lambda(thest),mu0(sparsity),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins),seed
1994.0,3.0,20.0,250.0,0.0005,0.002,1.0,3713308.815,0.816,0.897,0.855,19.287,0.812,0.068,1994.0
1994.0,5.0,20.0,250.0,0.0005,0.01,1.0,6207786.635,0.609,0.721,0.66,28.1,0.838,0.092,1994.0
1994.0,10.0,20.0,250.0,0.0005,0.01,1.0,12448697.186,0.507,0.748,0.604,21.641,0.837,0.106,1994.0
1994.0,20.0,20.0,250.0,0.001,0.005,1.0,24982392.702,0.216,0.79,0.338,36.111,0.873,0.141,1994.0
1994.0,50.0,20.0,250.0,0.0005,0.002,1.0,61895353.074,0.72,0.875,0.789,30.131,0.873,0.36,1994.0
1994.0,100.0,20.0,250.0,0.001,0.005,1.0,124341981.339,0.453,0.914,0.605,51.441,0.908,0.624,1994.0
1995.0,3.0,20.0,250.0,0.0005,0.002,1.0,3714187.877,0.823,0.904,0.862,19.298,0.812,0.07,1995.0
1995.0,5.0,20.0,250.0,0.0005,0.01,1.0,6211059.5,0.616,0.718,0.663,28.123,0.838,0.101,1995.0
1995.0,10.0,20.0,250.0,0.0005,0.01,1.0,12464259.951,0.515,0.744,0.609,21.652,0.837,0.104,1995.0
1995.0,20.0,20.0,250.0,0.001,0.005,1.0,24991602.617,0.199,0.792,0.317,36.117,0.873,0.144,1995.0
1995.0,50.0,20.0,250.0,0.0005,0.002,1.0,61920725.668,0.719,0.876,0.789,30.134,0.873,0.331,1995.0
1995.0,100.0,20.0,250.0,0.001,0.005,1.0,124433322.856,0.462,0.856,0.6,51.442,0.908,0.99,1995.0
1996.0,3.0,20.0,250.0,0.0005,0.002,1.0,3713050.627,0.82,0.91,0.863,19.309,0.813,0.069,1996.0
1996.0,5.0,20.0,250.0,0.0005,0.01,1.0,6205160.059,0.624,0.725,0.671,28.115,0.838,0.11,1996.0
1996.0,10.0,20.0,250.0,0.0005,0.01,1.0,12450263.812,0.513,0.734,0.604,21.648,0.837,0.127,1996.0
1996.0,20.0,20.0,250.0,0.001,0.005,1.0,24983298.016,0.211,0.799,0.334,36.114,0.873,0.143,1996.0
1996.0,50.0,20.0,250.0,0.0005,0.002,1.0,61905987.655,0.729,0.89,0.801,30.132,0.873,0.421,1996.0
1996.0,100.0,20.0,250.0,0.001,0.005,1.0,124410483.231,0.455,0.842,0.59,51.441,0.908,0.653,1996.0
1997.0,3.0,20.0,250.0,0.0005,0.002,1.0,3719105.244,0.822,0.899,0.859,19.3,0.812,0.071,1997.0
1997.0,5.0,20.0,250.0,0.0005,0.01,1.0,6213710.421,0.609,0.721,0.66,28.111,0.838,0.088,1997.0
1997.0,10.0,20.0,250.0,0.0005,0.01,1.0,12462931.731,0.513,0.737,0.605,21.654,0.837,0.158,1997.0
1997.0,20.0,20.0,250.0,0.001,0.005,1.0,25004378.955,0.214,0.807,0.338,36.115,0.873,0.148,1997.0
1997.0,50.0,20.0,250.0,0.0005,0.002,1.0,61916277.466,0.721,0.866,0.786,30.135,0.873,0.497,1997.0
1997.0,100.0,20.0,250.0,0.001,0.005,1.0,124418629.513,0.457,0.872,0.599,51.441,0.908,0.592,1997.0
1998.0,3.0,20.0,250.0,0.0005,0.002,1.0,3717864.501,0.808,0.904,0.853,19.28,0.812,0.103,1998.0
1998.0,5.0,20.0,250.0,0.0005,0.01,1.0,6211744.231,0.611,0.724,0.663,28.13,0.838,0.095,1998.0
1998.0,10.0,20.0,250.0,0.0005,0.01,1.0,12463360.69,0.525,0.735,0.612,21.647,0.837,0.106,1998.0
1998.0,20.0,20.0,250.0,0.001,0.005,1.0,24996070.422,0.208,0.805,0.329,36.111,0.873,0.145,1998.0
1998.0,50.0,20.0,250.0,0.0005,0.002,1.0,61891631.887,0.73,0.877,0.797,30.132,0.873,0.361,1998.0
1998.0,100.0,20.0,250.0,0.001,0.005,1.0,124342436.945,0.454,0.91,0.606,51.439,0.908,0.597,1998.0
