rd_seed,n/p,p,lambda(thest),mu0(sparsity),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1338,2.500000e-01,2000,1.000000e-04,1.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,3066.990,1563.143,35.035 
1338,2.500000e-01,2000,5.000000e-04,1.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,3066.985,1563.083,31.929 
1338,2.500000e-01,2000,1.000000e-03,1.000000e-04,1.000000e+00,-Inf,0.999,0.001,0.002,3066.979,1563.007,31.647 
1338,2.500000e-01,2000,5.000000e-03,1.000000e-04,1.000000e+00,-Inf,0.997,0.001,0.002,3066.930,1562.400,32.196 
1338,2.500000e-01,2000,1.000000e-04,2.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,499.104,283.087,31.767 
1338,2.500000e-01,2000,5.000000e-04,2.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,499.100,283.028,31.375 
1338,2.500000e-01,2000,1.000000e-03,2.000000e-04,1.000000e+00,-Inf,0.999,0.001,0.002,499.096,282.953,31.323 
1338,2.500000e-01,2000,5.000000e-03,2.000000e-04,1.000000e+00,-Inf,0.995,0.001,0.002,499.059,282.355,30.267 
1338,2.500000e-01,2000,1.000000e-04,5.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,619.113,305.841,31.860 
1338,2.500000e-01,2000,5.000000e-04,5.000000e-04,1.000000e+00,-Inf,0.999,0.001,0.002,619.113,305.781,31.506 
1338,2.500000e-01,2000,1.000000e-03,5.000000e-04,1.000000e+00,-Inf,0.997,0.001,0.002,619.113,305.706,30.657 
1338,2.500000e-01,2000,5.000000e-03,5.000000e-04,1.000000e+00,-Inf,0.984,0.001,0.002,619.113,305.108,31.220 
1338,2.500000e-01,2000,1.000000e-04,1.000000e-03,1.000000e+00,-Inf,1.000,0.001,0.002,115.697,42.668,26.246 
1338,2.500000e-01,2000,5.000000e-04,1.000000e-03,1.000000e+00,-Inf,0.997,0.001,0.002,115.696,42.608,26.166 
1338,2.500000e-01,2000,1.000000e-03,1.000000e-03,1.000000e+00,-Inf,0.993,0.001,0.002,115.693,42.534,26.292 
1338,2.500000e-01,2000,5.000000e-03,1.000000e-03,1.000000e+00,-Inf,0.962,0.001,0.002,115.675,41.944,26.577 
1338,2.500000e-01,2000,1.000000e-04,1.000000e-02,1.000000e+00,860051575.103,0.923,0.002,0.003,93.309,0.912,29.216 
1338,2.500000e-01,2000,5.000000e-04,1.000000e-02,1.000000e+00,85499791.353,0.594,0.013,0.026,93.309,0.912,26.421 
1338,2.500000e-01,2000,1.000000e-03,1.000000e-02,1.000000e+00,90957083.743,0.425,0.009,0.017,93.309,0.912,23.120 
1338,2.500000e-01,2000,5.000000e-03,1.000000e-02,1.000000e+00,20171555.851,0.066,0.948,0.124,93.309,0.913,23.544 
