rd_seed,n/p,p,lambda(thest),mu0(sparsity),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1339,20,2000,1.000000e-04,1.000000e-04,1.000000e+00,1757114081.308,0.736,0.007,0.014,93.213,0.910,23.398 
1339,20,2000,5.000000e-04,1.000000e-04,1.000000e+00,1598678806.014,0.204,0.943,0.335,93.213,0.912,23.571 
1339,20,2000,1.000000e-03,1.000000e-04,1.000000e+00,1605933367.404,0.031,0.977,0.060,93.213,0.912,23.157 
1339,20,2000,5.000000e-03,1.000000e-04,1.000000e+00,1606845786.797,0.000,NaN,NaN,93.213,0.912,23.569 
1339,20,2000,1.000000e-04,2.000000e-04,1.000000e+00,1746801686.552,0.734,0.007,0.015,93.221,0.911,22.962 
1339,20,2000,5.000000e-04,2.000000e-04,1.000000e+00,1598080021.838,0.198,0.942,0.327,93.221,0.912,23.661 
1339,20,2000,1.000000e-03,2.000000e-04,1.000000e+00,1605223536.751,0.030,0.978,0.058,93.221,0.913,23.727 
1339,20,2000,5.000000e-03,2.000000e-04,1.000000e+00,1606085793.700,0.000,NaN,NaN,93.221,0.913,23.438 
1339,20,2000,1.000000e-04,5.000000e-04,1.000000e+00,1700651867.839,0.731,0.010,0.020,93.238,0.912,22.800 
1339,20,2000,5.000000e-04,5.000000e-04,1.000000e+00,1596859233.553,0.192,0.942,0.318,93.238,0.913,22.913 
1339,20,2000,1.000000e-03,5.000000e-04,1.000000e+00,1603720719.364,0.027,0.978,0.052,93.238,0.914,22.937 
1339,20,2000,5.000000e-03,5.000000e-04,1.000000e+00,1604469546.801,0.000,NaN,NaN,93.238,0.914,23.507 
1339,20,2000,1.000000e-04,1.000000e-03,1.000000e+00,1622315635.928,0.724,0.031,0.059,93.259,0.913,22.783 
1339,20,2000,5.000000e-04,1.000000e-03,1.000000e+00,1595911767.353,0.184,0.940,0.308,93.259,0.914,22.981 
1339,20,2000,1.000000e-03,1.000000e-03,1.000000e+00,1602431497.463,0.024,0.977,0.046,93.259,0.915,22.921 
1339,20,2000,5.000000e-03,1.000000e-03,1.000000e+00,1603064850.775,0.000,NaN,NaN,93.259,0.915,23.120 
1339,20,2000,1.000000e-04,1.000000e-02,1.000000e+00,1587603191.778,0.572,0.529,0.550,93.384,0.917,25.349 
1339,20,2000,5.000000e-04,1.000000e-02,1.000000e+00,1596810348.106,0.122,0.941,0.216,93.384,0.918,22.708 
1339,20,2000,1.000000e-03,1.000000e-02,1.000000e+00,1600873539.659,0.007,0.977,0.013,93.384,0.918,22.460 
1339,20,2000,5.000000e-03,1.000000e-02,1.000000e+00,1601021585.975,0.000,NaN,NaN,93.384,0.918,20.714 
