T,p,N,Lamb,Epsilon0,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
1,65,200,1000,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.542,0
1,65,200,911.588829975082,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.514,0
1,65,200,830.99419493534,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.555,0
1,65,200,757.525025877191,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.527,0
1,65,200,690.551352016233,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.511,0
1,65,200,629.498899022189,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.52,0
1,65,200,573.844164830239,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.567,0
1,65,200,523.109930805626,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.500999999999999,0
1,65,200,476.861169771447,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.497999999999999,0
1,65,200,434.701315812503,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.5,0
1,65,200,396.268863870148,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.536,0
1,65,200,361.234269970943,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.505,0
1,65,200,329.297125509715,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.502,0
1,65,200,300.183581357559,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.532000000000001,0
1,65,200,273.643999707467,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.489000000000001,0
1,65,200,249.450813523032,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.527999999999999,0
1,65,200,227.396575235793,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.504999999999999,0
1,65,200,207.292177959537,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.500999999999999,0
1,65,200,188.965233969121,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.506,0
1,65,200,172.258596539879,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.498999999999999,0
1,65,200,157.029012472938,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.504999999999999,0
1,65,200,143.145893752348,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.507999999999999,0
1,65,200,130.49019780144,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.542,0
1,65,200,118.953406737032,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.532,0
1,65,200,108.436596868961,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.496,0
1,65,200,98.8495904662559,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.496,2
1,65,200,90.1101825166502,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.497999999999999,2
1,65,200,82.1434358491943,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.503,2
1,65,200,74.8810385759002,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.506,2
1,65,200,68.2607183427239,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.503,2
1,65,200,62.2257083673023,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.504999999999999,2
1,65,200,56.7242606849198,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.547000000000001,2
1,65,200,51.7092024289676,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.507000000000001,2
1,65,200,47.1375313411672,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.530000000000001,2
1,65,200,42.9700470432084,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.497000000000003,2
1,65,200,39.1710149080926,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.501999999999999,2
1,65,200,35.7078596490046,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.503999999999998,2
1,65,200,32.5508859983506,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.503999999999998,2
1,65,200,29.6730240818887,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.503999999999998,2
1,65,200,27.0495973046313,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.504999999999999,2
1,65,200,24.658110758226,0.1,0,NA,NA,0,NA,NA,0.00694444444444444,1,0.0137931034482759,0.00231481481481481,NA,NA,Inf,0.504999999999999,4
1,65,200,22.4780583354873,0.1,0,NA,NA,0,NA,NA,0.0104166666666667,1,0.0206185567010309,0.00347222222222222,NA,NA,Inf,0.507999999999999,6
1,65,200,20.4907468981585,0.1,0,NA,NA,0,NA,NA,0.0104166666666667,1,0.0206185567010309,0.00347222222222222,NA,NA,Inf,0.541,6
1,65,200,18.6791359902078,0.1,0,NA,NA,0,NA,NA,0.0104166666666667,1,0.0206185567010309,0.00347222222222222,NA,NA,Inf,0.531000000000002,6
1,65,200,17.027691722259,0.1,0,NA,NA,0,NA,NA,0.0104166666666667,1,0.0206185567010309,0.00347222222222222,NA,NA,Inf,0.495000000000001,6
1,65,200,15.5222535742705,0.1,0,NA,NA,0,NA,NA,0.0104166666666667,1,0.0206185567010309,0.00347222222222222,NA,NA,Inf,0.495999999999999,8
1,65,200,14.1499129743458,0.1,0,NA,NA,0,NA,NA,0.0104166666666667,1,0.0206185567010309,0.00347222222222222,NA,NA,Inf,0.497999999999998,8
1,65,200,12.8989026125331,0.1,0,NA,NA,0,NA,NA,0.0243055555555556,1,0.0474576271186441,0.00810185185185185,NA,NA,Inf,0.503999999999998,14
1,65,200,11.7584955405216,0.1,0,NA,NA,0,NA,NA,0.0243055555555556,0.875,0.0472972972972973,0.00810185185185185,NA,NA,Inf,0.504999999999999,16
1,65,200,10.7189131920513,0.1,0,NA,NA,0,NA,NA,0.03125,0.818181818181818,0.0602006688963211,0.0104166666666667,NA,NA,Inf,0.506,20
1,65,200,9.7712415353465,0.1,0,NA,NA,0,NA,NA,0.03125,0.818181818181818,0.0602006688963211,0.0104166666666667,NA,NA,Inf,0.505000000000003,22
1,65,200,8.90735463861044,0.1,0,NA,NA,0,NA,NA,0.03125,0.75,0.06,0.0104166666666667,NA,NA,Inf,0.510999999999999,24
1,65,200,8.11984499318401,0.1,0,NA,NA,0,NA,NA,0.0381944444444444,0.647058823529412,0.0721311475409836,0.0127314814814815,NA,NA,Inf,0.506999999999998,34
1,65,200,7.40195999691564,0.1,0,NA,NA,0,NA,NA,0.0416666666666667,0.6,0.0779220779220779,0.0138888888888889,NA,NA,22934.8356198769,0.524000000000001,44
1,65,200,6.74754405311069,0.1,0,NA,NA,0,NA,NA,0.0486111111111111,0.608695652173913,0.090032154340836,0.0162037037037037,NA,NA,19252.2476867794,0.497,50
1,65,200,6.1509857885805,0.1,0,NA,NA,0,NA,NA,0.0486111111111111,0.56,0.0894568690095847,0.0162037037037037,NA,NA,17720.4607219104,0.495999999999999,60
1,65,200,5.60716993820546,0.1,0,NA,NA,0.00757575757575758,0.666666666666667,0.0149812734082397,0.0625,0.580645161290323,0.112852664576803,0.0233585858585859,NA,NA,18829.8980359436,0.5,84
1,65,200,5.11143348344017,0.1,0,NA,NA,0.00757575757575758,0.666666666666667,0.0149812734082397,0.0625,0.529411764705882,0.111801242236025,0.0233585858585859,NA,NA,18041.0654358244,0.536999999999999,90
1,65,200,4.65952566866468,0.1,0,NA,NA,0.00757575757575758,0.666666666666667,0.0149812734082397,0.0659722222222222,0.5,0.116564417177914,0.0245159932659933,NA,NA,19158.7357763298,0.507000000000001,108
1,65,200,4.2475715525369,0.1,0,NA,NA,0.00757575757575758,0.666666666666667,0.0149812734082397,0.0659722222222222,0.487179487179487,0.116207951070336,0.0245159932659933,NA,NA,20243.0325752834,0.542000000000002,124
1,65,200,3.87203878181255,0.1,0,0,NA,0.00757575757575758,0.666666666666667,0.0149812734082397,0.0659722222222222,0.475,0.115853658536585,0.0245159932659933,0.380555555555556,NA,20445.4853223083,0.483000000000004,132
1,65,200,3.52970730273065,0.1,0,0,NA,0.00757575757575758,0.666666666666667,0.0149812734082397,0.0659722222222222,0.41304347826087,0.11377245508982,0.0245159932659933,0.359903381642512,NA,22896.2422239162,0.497,154
1,65,200,3.21764175025074,0.1,0,0,NA,0.00757575757575758,0.5,0.0149253731343284,0.0659722222222222,0.387755102040816,0.112759643916914,0.0245159932659933,0.295918367346939,NA,25454.6583635093,0.494999999999997,180
1,65,200,2.93316627839005,0.1,0,0,NA,0.0113636363636364,0.6,0.0223048327137546,0.0763888888888889,0.4,0.128279883381924,0.0292508417508418,0.333333333333333,NA,28100.2597143302,0.497999999999998,204
1,65,200,2.67384161583995,0.1,0.00836820083682008,0.4,0.0163934426229508,0.0151515151515152,0.666666666666667,0.0296296296296296,0.0763888888888889,0.366666666666667,0.126436781609195,0.033302868292408,0.477777777777778,0.0574866179539253,32139.6077318894,0.506999999999998,238
1,65,200,2.43744415012222,0.1,0.00836820083682008,0.4,0.0163934426229508,0.0151515151515152,0.571428571428571,0.029520295202952,0.0798611111111111,0.348484848484849,0.129943502824859,0.0344602756998154,0.43997113997114,0.0586190802169205,34918.2005987133,0.500999999999998,262
1,65,200,2.22194686093952,0.1,0.00836820083682008,0.285714285714286,0.016260162601626,0.0151515151515152,0.571428571428571,0.029520295202952,0.0833333333333333,0.338028169014085,0.133704735376045,0.0356176831072229,0.398390342052314,0.0598283977268742,39067.780736876,0.507999999999996,296
1,65,200,2.02550193923067,0.1,0.00836820083682008,0.2,0.0160642570281124,0.0189393939393939,0.454545454545455,0.0363636363636364,0.0902777777777778,0.337662337662338,0.142465753424658,0.0391951241846639,0.330735930735931,0.0649645489388021,44846.0586883155,0.509,342
1,65,200,1.84642494289554,0.1,0.00836820083682008,0.181818181818182,0.016,0.0189393939393939,0.454545454545455,0.0363636363636364,0.0902777777777778,0.317073170731707,0.140540540540541,0.0391951241846639,0.317812269031781,0.0643013923013923,48813.5253618168,0.509999999999998,374
1,65,200,1.68318035333096,0.1,0.0125523012552301,0.1875,0.0235294117647059,0.0189393939393939,0.454545454545455,0.0363636363636364,0.09375,0.310344827586207,0.144,0.0417472317315414,0.31746342737722,0.0679643493761141,54398.9725292525,0.535999999999994,418
