T,p,N,Lamb1,Lamb2,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
3,65,200,100,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.561,0
3,65,200,91.1588829975082,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.472,0
3,65,200,83.099419493534,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.49,0
3,65,200,75.7525025877191,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.477,0
3,65,200,69.0551352016233,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.472,0
3,65,200,62.9498899022189,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.479,0
3,65,200,57.384416483024,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.473,0
3,65,200,52.3109930805626,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.465000000000001,0
3,65,200,47.6861169771447,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.474,0
3,65,200,43.4701315812502,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.482,0
3,65,200,39.6268863870148,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.483,0
3,65,200,36.1234269970943,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.511,0
3,65,200,32.9297125509715,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.467,0
3,65,200,30.0183581357559,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.475,0
3,65,200,27.3643999707467,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.508999999999999,0
