T,p,N,Lamb1,Lamb2,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
3,65,200,100,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.087,0
3,65,200,91.1588829975082,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.035,0
3,65,200,83.099419493534,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.036,0
3,65,200,75.7525025877191,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.04,0
3,65,200,69.0551352016233,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0279999999999998,0
3,65,200,62.9498899022189,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.036,0
3,65,200,57.384416483024,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.028,0
3,65,200,52.3109930805626,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.036,0
3,65,200,47.6861169771447,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.028,0
3,65,200,43.4701315812502,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.036,0
3,65,200,39.6268863870148,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.028,0
3,65,200,36.1234269970943,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0290000000000001,0
3,65,200,32.9297125509715,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0290000000000001,0
3,65,200,30.0183581357559,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.028,0
3,65,200,27.3643999707467,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.036,0
3,65,200,24.9450813523032,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0289999999999999,0
3,65,200,22.7396575235793,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0349999999999999,0
3,65,200,20.7292177959537,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.028,0
3,65,200,18.8965233969121,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0350000000000001,0
3,65,200,17.2258596539879,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0289999999999999,0
3,65,200,15.7029012472938,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.036,0
3,65,200,14.3145893752348,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.028,0
3,65,200,13.049019780144,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.036,0
3,65,200,11.8953406737032,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.028,0
3,65,200,10.8436596868961,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0370000000000001,0
3,65,200,9.88495904662559,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.028,0
3,65,200,9.01101825166502,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0279999999999998,0
3,65,200,8.21434358491943,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.036,0
3,65,200,7.48810385759002,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.028,0
3,65,200,6.82607183427239,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0369999999999999,0
3,65,200,6.22257083673023,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0289999999999999,0
3,65,200,5.67242606849198,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0350000000000001,0
3,65,200,5.17092024289676,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0290000000000001,0
3,65,200,4.71375313411672,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0349999999999997,0
3,65,200,4.29700470432084,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0289999999999999,0
3,65,200,3.91710149080926,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.036,0
3,65,200,3.57078596490046,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.028,0
3,65,200,3.25508859983506,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.036,0
3,65,200,2.96730240818887,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.04,0
3,65,200,2.70495973046313,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0419999999999998,0
3,65,200,2.4658110758226,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.044,0
3,65,200,2.24780583354873,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0289999999999999,0
3,65,200,2.04907468981585,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0349999999999997,0
3,65,200,1.86791359902078,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0289999999999999,0
3,65,200,1.7027691722259,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0350000000000001,0
3,65,200,1.55222535742705,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0290000000000004,0
3,65,200,1.41499129743458,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0350000000000001,0
3,65,200,1.28989026125331,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0289999999999999,0
3,65,200,1.17584955405216,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.036,0
3,65,200,1.07189131920513,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.028,0
3,65,200,0.97712415353465,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.036,0
3,65,200,0.890735463861044,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0289999999999999,0
3,65,200,0.811984499318401,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.036,0
3,65,200,0.740195999691564,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.028,0
3,65,200,0.674754405311069,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0289999999999999,0
3,65,200,0.61509857885805,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0369999999999999,0
3,65,200,0.560716993820546,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.028,0
3,65,200,0.511143348344017,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0349999999999997,0
3,65,200,0.465952566866468,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0289999999999999,0
3,65,200,0.42475715525369,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0350000000000001,0
3,65,200,0.387203878181255,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.028,0
3,65,200,0.352970730273065,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.036,0
3,65,200,0.321764175025074,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0299999999999998,0
3,65,200,0.293316627839005,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0430000000000001,0
3,65,200,0.267384161583995,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.032,0
3,65,200,0.243744415012222,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0429999999999997,0
3,65,200,0.222194686093952,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.032,0
3,65,200,0.202550193923067,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0430000000000001,0
3,65,200,0.184642494289554,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.032,0
3,65,200,0.168318035333096,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0420000000000003,0
3,65,200,0.153436840893001,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.032,0
3,65,200,0.139871310264724,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0409999999999999,0
3,65,200,0.127505124071301,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.032,0
3,65,200,0.116232246867985,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65422.1620258462,0.0529999999999999,0
3,65,200,0.105956017927762,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-65157.2267708678,0.413,2
3,65,200,0.096588322411587,0.001,0,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,-64898.7262892665,0.778999999999999,4
3,65,200,0.0880488358164346,0.001,0,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,-64904.5454674246,0.812,4
3,65,200,0.0802643352225717,0.001,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,-64116.7609877527,0.885,10
3,65,200,0.0731680714342719,0.001,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,-63597.2438829167,0.903,14
3,65,200,0.0666991966303012,0.001,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,-63078.4367918667,1.328,18
3,65,200,0.0608022426164942,0.001,0,0,NA,0,NA,NA,0.00347222222222222,0.2,0.0068259385665529,0.00115740740740741,NA,NA,-60438.97354406,2.198,38
3,65,200,0.0554266452066311,0.001,0,0,NA,0,NA,NA,0.00694444444444444,0.25,0.0135135135135135,0.00231481481481481,NA,NA,-58866.3675691503,2.019,50
3,65,200,0.0505263106533568,0.001,0,0,NA,0,0,NA,0.00694444444444444,0.142857142857143,0.0132450331125828,0.00231481481481481,0.0476190476190476,NA,-55707.8630371535,1.315,74
3,65,200,0.046059220411451,0.001,0.00418410041841004,0.333333333333333,0.00826446280991735,0.00378787878787879,0.5,0.0075187969924812,0.00694444444444444,0.133333333333333,0.0132013201320132,0.00497214121691109,0.322222222222222,0.00966152664480392,-52824.0020590882,1.194,96
3,65,200,0.0419870708444391,0.001,0.00418410041841004,0.166666666666667,0.00816326530612245,0.00378787878787879,0.2,0.00743494423791822,0.00694444444444444,0.125,0.0131578947368421,0.00497214121691109,0.163888888888889,0.00958536809362759,-47826.8911758504,1.326,134
3,65,200,0.0382749447851631,0.001,0.00418410041841004,0.111111111111111,0.00806451612903226,0.00378787878787879,0.2,0.00743494423791822,0.0104166666666667,0.142857142857143,0.0194174757281553,0.0061295486243185,0.151322751322751,0.0116389786983686,-42838.5228809858,1.533,172
3,65,200,0.0348910121340677,0.001,0.00418410041841004,0.0714285714285714,0.00790513833992095,0.0151515151515152,0.4,0.0291970802919708,0.0104166666666667,0.12,0.0191693290734824,0.00991742741219729,0.197142857142857,0.0187571825684581,-36793.883137738,1.727,218
3,65,200,0.0318062569279412,0.001,0.00836820083682008,0.0909090909090909,0.0153256704980843,0.0227272727272727,0.4,0.043010752688172,0.03125,0.290322580645161,0.0564263322884013,0.0207818245213643,0.260410557184751,0.0382542518248859,-29697.5202938375,1.932,272
3,65,200,0.0289942285388288,0.001,0.0292887029288703,0.21875,0.0516605166051661,0.0378787878787879,0.384615384615385,0.0689655172413793,0.03125,0.257142857142857,0.0557275541795666,0.0328058302692194,0.286836080586081,0.0587845293420373,-20219.626362588,1.976,344
3,65,200,0.0264308148697411,0.001,0.0292887029288703,0.2,0.0510948905109489,0.0378787878787879,0.32258064516129,0.0677966101694915,0.0416666666666667,0.292682926829268,0.0729483282674772,0.0362780524914416,0.271754523996853,0.0639466096493059,-10220.3756124904,2.099,420
3,65,200,0.0240940356023952,0.001,0.0418410041841004,0.212765957446809,0.0699300699300699,0.0492424242424242,0.325,0.0855263157894737,0.0416666666666667,0.272727272727273,0.072289156626506,0.0442500316977304,0.270164410058027,0.0759151807820165,2685.9543880692,2.289,518
3,65,200,0.0219638537241655,0.001,0.0418410041841004,0.185185185185185,0.068259385665529,0.0568181818181818,0.3,0.0955414012738853,0.0486111111111111,0.28,0.0828402366863905,0.0490900990377978,0.255061728395062,0.082213674541935,13988.3625074543,2.27,604
3,65,200,0.0200220037181558,0.001,0.0418410041841004,0.178571428571429,0.0677966101694915,0.0681818181818182,0.305084745762712,0.111455108359133,0.0520833333333333,0.283018867924528,0.0879765395894428,0.054035385233084,0.255558347419556,0.0890760860393558,25018.3363731827,2.557,688
3,65,200,0.0182518349431904,0.001,0.0418410041841004,0.161290322580645,0.0664451827242525,0.071969696969697,0.292307692307692,0.115501519756839,0.0520833333333333,0.267857142857143,0.0872093023255814,0.0552980114957102,0.240485052581827,0.0897186682688909,37900.666559852,2.712,786
3,65,200,0.0166381688607613,0.001,0.0460251046025105,0.152777777777778,0.0707395498392283,0.0946969696969697,0.294117647058824,0.143266475644699,0.0590277777777778,0.288135593220339,0.0979827089337176,0.0665832840257526,0.245010339352313,0.103996244805882,57942.2332774565,2.63,938
3,65,200,0.0151671688847092,0.001,0.0543933054393305,0.152941176470588,0.0802469135802469,0.125,0.305555555555556,0.17741935483871,0.0729166666666667,0.308823529411765,0.117977528089888,0.0841033240353324,0.255773420479303,0.125214598836281,78239.8140523543,2.612,1092
3,65,200,0.0138262217376466,0.001,0.0711297071129707,0.175257731958763,0.101190476190476,0.136363636363636,0.290322580645161,0.185567010309278,0.0798611111111111,0.315068493150685,0.127423822714681,0.0957848181959061,0.26021626858487,0.138060436404812,98532.4399345135,2.753,1246
3,65,200,0.0126038292967973,0.001,0.0836820083682008,0.178571428571429,0.113960113960114,0.143939393939394,0.27536231884058,0.189054726368159,0.0902777777777778,0.317073170731707,0.140540540540541,0.105966393361791,0.257002306047905,0.147851793622938,118297.376313779,2.722,1396
3,65,200,0.0114895100018731,0.001,0.104602510460251,0.2,0.137362637362637,0.162878787878788,0.267080745341615,0.202352941176471,0.104166666666667,0.344827586206897,0.16,0.123882655001902,0.27063611051617,0.166571859513036,141514.133319472,2.49,1572
