T,p,N,Tau1,Lamb2,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
3,65,1000,1000,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.162,0
3,65,1000,754.312006335462,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.154,0
3,65,1000,568.98660290183,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.164,0
3,65,1000,429.193426012878,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.159,0
3,65,1000,323.745754281764,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.153,0
3,65,1000,244.205309454865,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.191,0
3,65,1000,184.206996932672,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.152,0
3,65,1000,138.949549437314,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.155,0
3,65,1000,104.811313415469,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.153,0
3,65,1000,79.060432109077,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.155,0
3,65,1000,59.6362331659464,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.153,0
3,65,1000,44.9843266896945,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.155,0
3,65,1000,33.9322177189533,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.153,0
3,65,1000,25.5954792269954,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.155,0
3,65,1000,19.3069772888325,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.154,0
3,65,1000,14.5634847750124,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.155,0
3,65,1000,10.9854114198756,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.155,0
3,65,1000,8.28642772854684,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.153,0
3,65,1000,6.25055192527398,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.154,0
3,65,1000,4.71486636345739,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.151999999999999,0
3,65,1000,3.55648030622313,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.156,0
3,65,1000,2.68269579527973,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.153,0
3,65,1000,2.02358964772516,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.154999999999999,0
3,65,1000,1.52641796717523,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.153,0
3,65,1000,1.15139539932645,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.155,0
3,65,1000,0.868511373751353,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.155,0
3,65,1000,0.655128556859551,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.153,0
3,65,1000,0.494171336132383,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.156,0
3,65,1000,0.372759372031494,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.154999999999999,0
3,65,1000,0.281176869797423,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.155,0
3,65,1000,0.212095088792019,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.155,0
3,65,1000,0.159985871960606,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.156,0
3,65,1000,0.120679264063933,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.9205965,0.127000000000001,0
3,65,1000,0.0910298177991523,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059657,0.126,0
3,65,1000,0.06866488450043,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.9205966,0.127,0
3,65,1000,0.0517947467923121,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059662,0.125,0
3,65,1000,0.0390693993705462,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.127,0
3,65,1000,0.0294705170255181,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.125,0
3,65,1000,0.022229964825262,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.127,0
3,65,1000,0.0167683293681101,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059663,0.124000000000001,0
3,65,1000,0.012648552168553,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059467,0.0979999999999999,0
3,65,1000,0.00954095476349994,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059553,0.0999999999999996,0
3,65,1000,0.00719685673001153,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.920596,0.0969999999999995,0
3,65,1000,0.00542867543932386,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059626,0.0969999999999995,0
3,65,1000,0.00409491506238043,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059641,0.0979999999999999,0
3,65,1000,0.00308884359647748,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.9205965,0.102,0
3,65,1000,0.00232995181051537,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059655,0.096000000000001,0
3,65,1000,0.00175751062485479,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059659,0.097999999999999,0
3,65,1000,0.00132571136559011,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.9205966,0.0960000000000001,0
3,65,1000,0.001,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2200176.92059661,0.0990000000000002,0
